frequency_hz	frequency_ghz	s11_real	s11_imag	s11_mag	s11_db	s11_phase_deg	s21_real	s21_imag	s21_mag	s21_db	s21_phase_deg	s12_real	s12_imag	s12_mag	s12_db	s12_phase_deg	s22_real	s22_imag	s22_mag	s22_db	s22_phase_deg
4000000000.0	4.0	-0.14437210218896074	0.9825122610820238	0.9930627608902525	-0.06046607043487122	98.3593219668468	0.00039349794348944177	-0.00012302911335258768	0.00041228242051140595	-67.69610365748521	-17.3621168487146	0.00039349794348944177	-0.00012302911335258768	0.00041228242051140595	-67.69610365748521	-17.3621168487146	-0.15650632731359776	0.9806396979195675	0.9930500730703219	-0.06057704600663305	99.06771456814238
4031250000.0	4.03125	-0.1293825926457084	0.984447081666131	0.9929128420363428	-0.0617774446735873	97.48728058316892	0.0004323485425413451	-0.00013397252861498539	0.0004526299820616376	-66.8851336380871	-17.216723443153562	0.0004323485425413451	-0.00013397252861498539	0.0004526299820616376	-66.8851336380871	-17.216723443153562	-0.14163963724372247	0.9827451013537485	0.9928996530734224	-0.06189282100106081	98.20136533471504
4062500000.0	4.0625	-0.11421954643471677	0.9861652803255443	0.9927578077795771	-0.06313377277084463	96.60666937205565	0.0004732805203416903	-0.00014640239074028058	0.0004954070154422229	-66.10075695353925	-17.18868629577633	0.0004732805203416903	-0.00014640239074028058	0.0004954070154422229	-66.10075695353925	-17.18868629577633	-0.1265970440624679	0.9846390163967957	0.9927440778852341	-0.06325389992647068	97.32644095450263
4093750000.0	4.09375	-0.09888112530381571	0.9876598997100039	0.9925973778106226	-0.0645375286510255	95.71720612106827	0.0005164188935142396	-0.00016047158599833268	0.0005407768518449101	-65.33963813612066	-17.262067075280402	0.0005164188935142396	-0.00016047158599833268	0.0005407768518449101	-65.33963813612066	-17.262067075280402	-0.11137653881073178	0.9863145581807296	0.9925830650765235	-0.06466277553148073	96.44265801088487
4125000000.0	4.125	-0.0833654421311521	0.9889236513249768	0.9924312495541678	-0.06599138345675187	94.81859395228197	0.0005618984977222251	-0.00017634913698684473	0.0005889218452889129	-64.59884671586613	-17.424213986520016	0.0005618984977222251	-0.00017634913698684473	0.0005889218452889129	-64.59884671586613	-17.424213986520016	-0.09597605478932669	0.9877645108067057	0.9924163097723325	-0.06612213938874371	95.5497183015818
4156250000.0	4.15625	-0.0676705591048789	0.989948892019604	0.9922590958919996	-0.06749822578866882	93.91052023010884	0.0006098650271301118	-0.00019422224268255306	0.0006400450225328313	-63.875789509389556	-17.664991020179993	0.0006098650271301118	-0.00019422224268255306	0.0006400450225328313	-63.875789509389556	-17.664991020179993	-0.0803934651441865	0.9889813036867126	0.9922434823569057	-0.06763490229811181	94.64730773550288
4187500000.0	4.1875	-0.05179448586261365	0.9907275982443486	0.992080562600028	-0.06906118449720808	92.99265536354802	0.000660476204746978	-0.0002142986322173814	0.0006943721774432011	-63.168153781543886	-17.976214280745257	0.000660476204746978	-0.0002142986322173814	0.0006943721774432011	-63.168153781543886	-17.976214280745257	-0.06462658036303193	0.9899569856325643	0.9920642258907094	-0.06920421725874484	93.73509512297846
4218750000.0	4.21875	-0.03573517760014455	0.9912513378132306	0.9918952654563048	-0.07068365441095165	92.0646514901301	0.0007139031010271644	-0.00023680928821514537	0.0007521544234006508	-62.473859721523795	-18.351234431736916	0.0007139031010271644	-0.00023680928821514537	0.0007521544234006508	-62.473859721523795	-18.351234431736916	-0.048673145688321484	0.9906831964240708	0.9918781531963543	-0.07083350539695032	92.8127308465353
4250000000.0	4.25	-0.01949053316212901	0.9915112388673306	0.99170278696955	-0.07236932545388913	91.12614102697098	0.000770331620399492	-0.00026201160658197446	0.0008136712403489351	-61.79102068213989	-18.784623760830197	0.000770331620399492	-0.00026201160658197446	0.0008136712403489351	-61.79102068213989	-18.784623760830197	-0.032530838454012834	0.991151135549754	0.991684843562756	-0.07252648530378349	91.87984539751275
4312500000.0	4.3125	0.01356346206022846	0.9912016309838594	0.9912944268824082	-0.07594670889635406	89.21602163726011	0.0008930215914664927	-0.0003216755537388055	0.0009491905629000504	-60.452931766043136	-19.809541286542874	0.0008930215914664927	-0.0003216755537388055	0.0009491905629000504	-60.452931766043136	-19.809541286542874	0.0003300403209010594	0.9912745850854263	0.9912746400281294	-0.07612008639469663	89.98092363403386
4375000000.0	4.375	0.047385507918543124	0.989717614841402	0.9908513225948946	-0.07983013170178957	87.25889696987147	0.001030399359329952	-0.0003960339197974506	0.0011038866360898248	-59.14151048591472	-21.024260307189998	0.001030399359329952	-0.0003960339197974506	0.0011038866360898248	-59.14151048591472	-21.024260307189998	0.033976100213227556	0.9902467222356253	0.9908294234045025	-0.08002210404778964	88.03491014474875
4437500000.0	4.4375	0.08199463140696245	0.9869683954109558	0.9903684835048218	-0.08406377313767115	85.25092927206441	0.0011846878450461344	-0.0004885632635457175	0.0012814754592603388	-57.845794126073365	-22.411168062743403	0.0011846878450461344	-0.0004885632635457175	0.0012814754592603388	-57.845794126073365	-22.411168062743403	0.06842864963987183	0.9879772691942859	0.9903441646903034	-0.084277060551409	86.03794379296066
4500000000.0	4.5	0.11741092608551013	0.9828517888133874	0.9898398680281234	-0.0887011597006427	83.18776057779702	0.001358573038098075	-0.0006037191664195797	0.0014866733103642458	-56.5556891042569	-23.95928158207497	0.001358573038098075	-0.0006037191664195797	0.0014866733103642458	-56.5556891042569	-23.95928158207497	0.10371034747815044	0.98436451377344	0.9898127763119952	-0.08893889398911316	83.98563853191564
4562500000.0	4.5625	0.15365558130132856	0.9772520296605787	0.9892580892470729	-0.09380779569402872	81.06440894072362	0.001555322857036107	-0.0007472819646293523	0.0017255316642354795	-55.261541336240754	-25.662768231303783	0.001555322857036107	-0.0007472819646293523	0.0017255316642354795	-55.261541336240754	-25.662768231303783	0.139845278531404	0.9792930972841836	0.9892278161859256	-0.09407360346898491	81.87297870165023
4625000000.0	4.625	0.19075087758334364	0.9700369961396829	0.9886140152650653	-0.09946473954944689	78.87513663067882	0.001778937868177457	-0.0009268495128794147	0.0020059087612253365	-53.95377649508089	-27.520093424207403	0.001778937868177457	-0.0009268495128794147	0.0020059087612253365	-53.95377649508089	-27.520093424207403	0.17685900471780508	0.9726312144447515	0.9885800862156009	-0.09976284278471412	79.69418609811838
