candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
i7_fr4_r10_asym0715,i7_fr4_r10_asym0715_mm_coords,TUNE,,,127.541,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0715_home_simads_em_parallel_20260802_125955,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 1; score 116.57; S21@5/6/8 -25.3089/-2.85711/-4.67907 dB; S11/S22 -5.0281/-5.005 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0715,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0715_mm_coords_rfpro.csv,fr4_25db_rl6,-24.45,-3.04,-4.42,-4.53,-50.62,-4.53,2.99,-3.57,-3.58,-0.55,1.96,0.47,0.47,1.01,-2.43,-2.42,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0715_home_simads_em_parallel_20260802_125955
i7_fr4_r10_asym0676,i7_fr4_r10_asym0676_mm_coords,TUNE,,,134.284,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0676_home_simads_em_parallel_20260802_125955,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 2; score 116.413; S21@5/6/8 -25.0981/-2.85299/-4.55455 dB; S11/S22 -4.93545/-5.06566 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0676,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0676_mm_coords_rfpro.csv,fr4_25db_rl6,-25.25,-2.62,-3.19,-4.79,-45.90,-4.79,3.23,-4.39,-4.66,0.25,2.38,0.21,0.21,0.77,-1.61,-1.34,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0676_home_simads_em_parallel_20260802_125955
i7_fr4_r10_asym0555,i7_fr4_r10_asym0555_mm_coords,TUNE,,,158.276,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0555_home_simads_em_parallel_20260802_130210,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 3; score 116.409; S21@5/6/8 -25.407/-2.82052/-4.37379 dB; S11/S22 -5.01868/-4.87208 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0555,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0555_mm_coords_rfpro.csv,fr4_25db_rl6,-28.43,-3.31,-2.62,-4.79,-58.27,-4.79,3.26,-4.84,-4.85,3.43,1.69,0.21,0.21,0.74,-1.16,-1.15,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0555_home_simads_em_parallel_20260802_130210
i7_fr4_r10_asym0354,i7_fr4_r10_asym0354_mm_coords,TUNE,,,99.656,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0354_home_simads_em_parallel_20260802_130215,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 4; score 116.224; S21@5/6/8 -25.1397/-2.92783/-4.84946 dB; S11/S22 -5.13672/-4.9776 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0354,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0354_mm_coords_rfpro.csv,fr4_25db_rl6,-19.42,-1.97,-4.10,-3.47,-38.75,-4.10,2.63,-3.79,-3.80,-5.58,3.03,1.53,0.90,1.37,-2.21,-2.20,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0354_home_simads_em_parallel_20260802_130215
i7_fr4_r10_asym0805,i7_fr4_r10_asym0805_mm_coords,TUNE,,,101.652,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0805_home_simads_em_parallel_20260802_130400,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 5; score 116.189; S21@5/6/8 -25.1242/-2.76355/-4.33925 dB; S11/S22 -4.83866/-4.96215 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0805,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0805_mm_coords_rfpro.csv,fr4_25db_rl6,-24.08,-1.47,-2.77,-4.81,-47.36,-4.81,3.34,-4.37,-4.70,-0.92,3.53,0.19,0.19,0.66,-1.63,-1.30,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0805_home_simads_em_parallel_20260802_130400
i7_fr4_r10_asym0575,i7_fr4_r10_asym0575_mm_coords,TUNE,,,68.417,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0575_home_simads_em_parallel_20260802_130455,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 6; score 116.152; S21@5/6/8 -25.0702/-2.80782/-4.50741 dB; S11/S22 -4.85478/-4.93587 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0575,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0575_mm_coords_rfpro.csv,fr4_25db_rl6,-17.51,-1.49,-3.82,-3.65,-36.05,-3.82,2.39,-4.17,-3.94,-7.49,3.51,1.35,1.18,1.61,-1.83,-2.06,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0575_home_simads_em_parallel_20260802_130455
i7_fr4_r10_asym0826,i7_fr4_r10_asym0826_mm_coords,TUNE,,,89.767,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0826_home_simads_em_parallel_20260802_130551,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 7; score 116.127; S21@5/6/8 -25.1828/-2.73617/-4.28356 dB; S11/S22 -4.78942/-4.89914 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0826,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0826_mm_coords_rfpro.csv,fr4_25db_rl6,-23.92,-1.57,-3.30,-4.14,-44.71,-4.14,2.57,-4.66,-4.50,-1.08,3.43,0.86,0.86,1.43,-1.34,-1.50,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0826_home_simads_em_parallel_20260802_130551
i7_fr4_r10_asym0207,i7_fr4_r10_asym0207_mm_coords,TUNE,,,115.435,bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0207_home_simads_em_parallel_20260802_130611,home_simads_em_parallel,bfp_6_8g_i7_fr4_home_parallel_round10_asym_gap_nn_1to10,fr4_25db_rl6,fr4_i7_score_v1,refined-NN rank 8; score 116.031; S21@5/6/8 -25.6988/-2.75513/-4.80313 dB; S11/S22 -4.8017/-4.99024 dB,bfp_6_8g_i7_fr4,round10,i7_fr4_r10_asym0207,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\i7_fr4_r10_asym0207_mm_coords_rfpro.csv,fr4_25db_rl6,-26.24,-3.03,-2.95,-5.23,-51.88,-5.23,3.79,-4.25,-4.09,1.24,1.97,-0.23,-0.23,0.21,-1.75,-1.91,D:\OneDrive\4.Code\SIM\projects\bfp_6_8g_i7_fr4\results\interdigital_7o_fr4_210um_round10_asym_gap_nn_parallel_1to10\runs\bfp_6_8g_i7_fr4_round10_i7_fr4_r10_asym0207_home_simads_em_parallel_20260802_130611
