freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.229014,-48.8681,-48.8681,-0.225293
14.05,-0.233127,-48.7063,-48.7063,-0.229281
14.1,-0.237367,-48.5403,-48.5403,-0.233388
14.15,-0.241741,-48.3697,-48.3697,-0.237621
14.2,-0.246254,-48.1945,-48.1945,-0.241985
14.25,-0.250914,-48.0142,-48.0142,-0.246486
14.3,-0.255729,-47.8286,-47.8286,-0.251133
14.35,-0.260707,-47.6373,-47.6373,-0.255931
14.4,-0.265857,-47.4401,-47.4401,-0.26089
14.45,-0.271187,-47.2365,-47.2365,-0.266017
14.5,-0.276708,-47.0262,-47.0262,-0.271321
14.55,-0.282431,-46.8089,-46.8089,-0.276813
14.6,-0.288368,-46.5841,-46.5841,-0.282503
14.65,-0.29453,-46.3514,-46.3514,-0.288402
14.7,-0.300932,-46.1103,-46.1103,-0.294521
14.75,-0.307588,-45.8603,-45.8603,-0.300876
14.8,-0.314514,-45.6011,-45.6011,-0.307478
14.85,-0.321726,-45.3321,-45.3321,-0.314345
14.9,-0.329245,-45.0528,-45.0528,-0.321491
14.95,-0.337089,-44.7626,-44.7626,-0.328936
15,-0.345281,-44.4611,-44.4611,-0.336699
15.05,-0.353846,-44.1476,-44.1476,-0.344801
15.1,-0.362808,-43.8217,-43.8217,-0.353266
15.15,-0.372198,-43.4827,-43.4827,-0.362118
15.2,-0.382047,-43.1301,-43.1301,-0.371386
15.25,-0.39239,-42.7633,-42.7633,-0.3811
15.3,-0.403265,-42.3818,-42.3818,-0.391294
15.35,-0.414715,-41.9851,-41.9851,-0.402005
15.4,-0.426787,-41.5724,-41.5724,-0.413272
15.45,-0.439532,-41.1435,-41.1435,-0.425143
15.5,-0.453009,-40.6976,-40.6976,-0.437665
15.55,-0.467283,-40.2343,-40.2343,-0.450897
15.6,-0.482427,-39.7531,-39.7531,-0.464899
15.65,-0.498522,-39.2535,-39.2535,-0.479741
15.7,-0.515659,-38.735,-38.735,-0.495502
15.75,-0.533943,-38.1972,-38.1972,-0.512269
15.8,-0.553492,-37.6397,-37.6397,-0.530142
15.85,-0.574439,-37.0619,-37.0619,-0.549233
15.9,-0.596937,-36.4635,-36.4635,-0.569671
15.95,-0.621162,-35.844,-35.844,-0.591603
16,-0.647316,-35.2031,-35.2031,-0.615195
16.05,-0.675633,-34.5401,-34.5401,-0.640642
16.1,-0.706385,-33.8548,-33.8548,-0.668167
16.15,-0.739889,-33.1466,-33.1466,-0.69803
16.2,-0.776518,-32.415,-32.415,-0.730535
16.25,-0.816714,-31.6596,-31.6596,-0.76604
16.3,-0.860997,-30.8797,-30.8797,-0.804964
16.35,-0.909992,-30.0748,-30.0748,-0.847807
16.4,-0.964448,-29.2442,-29.2442,-0.895165
16.45,-1.02527,-28.3875,-28.3875,-0.947754
16.5,-1.09356,-27.5038,-27.5038,-1.00644
16.55,-1.17067,-26.5927,-26.5927,-1.07226
16.6,-1.25825,-25.6536,-25.6536,-1.14651
16.65,-1.35837,-24.686,-24.686,-1.23075
16.7,-1.47359,-23.6896,-23.6896,-1.32691
16.75,-1.60714,-22.6643,-22.6643,-1.43739
16.8,-1.76304,-21.6106,-21.6106,-1.56513
16.85,-1.94638,-20.5295,-20.5295,-1.71378
16.9,-2.16354,-19.4229,-19.4229,-1.88777
16.95,-2.42246,-18.2939,-18.2939,-2.09246
17,-2.73281,-17.1475,-17.1475,-2.33407
17.05,-3.10598,-15.991,-15.991,-2.6194
17.1,-3.55438,-14.8345,-14.8345,-2.95509
17.15,-4.08954,-13.6917,-13.6917,-3.34583
17.2,-4.71762,-12.5797,-12.5797,-3.79131
17.25,-5.431,-11.5185,-11.5185,-4.28152
17.3,-6.19519,-10.5291,-10.5291,-4.7917
17.35,-6.93573,-9.63023,-9.63023,-5.28059
17.4,-7.54202,-8.83508,-8.83508,-5.69823
17.45,-7.91017,-8.14787,-8.14787,-6.00547
17.5,-8.01039,-7.56309,-7.56309,-6.19485
17.55,-7.90919,-7.06713,-7.06713,-6.29551
17.6,-7.71964,-6.64172,-6.64172,-6.35825
17.65,-7.54181,-6.26776,-6.26776,-6.43572
17.7,-7.44061,-5.92821,-5.92821,-6.5712
17.75,-7.45164,-5.60984,-5.60984,-6.79746
17.8,-7.59357,-5.30378,-5.30378,-7.14054
17.85,-7.87749,-5.00536,-5.00536,-7.62468
17.9,-8.31173,-4.71364,-4.71364,-8.27659
17.95,-8.90265,-4.43067,-4.43067,-9.129
18,-9.65104,-4.16073,-4.16073,-10.2233
18.05,-10.5417,-3.90944,-3.90944,-11.6097
18.1,-11.5215,-3.68283,-3.68283,-13.3348
18.15,-12.4646,-3.48642,-3.48642,-15.375
18.2,-13.1501,-3.32428,-3.32428,-17.3747
18.25,-13.338,-3.19841,-3.19841,-18.2224
18.3,-12.9628,-3.10838,-3.10838,-17.1608
18.35,-12.1999,-3.05141,-3.05141,-15.2293
18.4,-11.294,-3.02274,-3.02274,-13.376
18.45,-10.4133,-3.01632,-3.01632,-11.8446
18.5,-9.63743,-3.02554,-3.02554,-10.6293
18.55,-8.99238,-3.04384,-3.04384,-9.67857
18.6,-8.47939,-3.06528,-3.06528,-8.94255
18.65,-8.09009,-3.08485,-3.08485,-8.38135
18.7,-7.81355,-3.09871,-3.09871,-7.96422
18.75,-7.63909,-3.10418,-3.10418,-7.66762
18.8,-7.55731,-3.09979,-3.09979,-7.4733
18.85,-7.56007,-3.08518,-3.08518,-7.36684
18.9,-7.64004,-3.06104,-3.06104,-7.33631
18.95,-7.78996,-3.02893,-3.02893,-7.37121
19,-8.0015,-2.99125,-2.99125,-7.46153
19.05,-8.26384,-2.95101,-2.95101,-7.5968
19.1,-8.56188,-2.9118,-2.9118,-7.76539
19.15,-8.87427,-2.87757,-2.87757,-7.95389
19.2,-9.17172,-2.85264,-2.85264,-8.14668
19.25,-9.41662,-2.84159,-2.84159,-8.32593
19.3,-9.56558,-2.84938,-2.84938,-8.47169
19.35,-9.57607,-2.88147,-2.88147,-8.56238
19.4,-9.41641,-2.94411,-2.94411,-8.57529
19.45,-9.07511,-3.0447,-3.0447,-8.48779
19.5,-8.56438,-3.19204,-3.19204,-8.27987
19.55,-7.91616,-3.39652,-3.39652,-7.9388
19.6,-7.17386,-3.66974,-3.66974,-7.46519
19.65,-6.38402,-4.02363,-4.02363,-6.87727
19.7,-5.59032,-4.46889,-4.46889,-6.20986
19.75,-4.8295,-5.01295,-5.01295,-5.5071
19.8,-4.12895,-5.65815,-5.65815,-4.81244
19.85,-3.50563,-6.40074,-6.40074,-4.16046
19.9,-2.96658,-7.23114,-7.23114,-3.57317
19.95,-2.51073,-8.13542,-8.13542,-3.06038
20,-2.13148,-9.09737,-9.09737,-2.62252
20.05,-1.81931,-10.1006,-10.1006,-2.25415
20.1,-1.56376,-11.13,-11.13,-1.94689
20.15,-1.35483,-12.1725,-12.1725,-1.69157
20.2,-1.18368,-13.2179,-13.2179,-1.47945
20.25,-1.04286,-14.2578,-14.2578,-1.30279
20.3,-0.926285,-15.2863,-15.2863,-1.15503
20.35,-0.829088,-16.299,-16.299,-1.03077
20.4,-0.747428,-17.2928,-17.2928,-0.925659
20.45,-0.678281,-18.2659,-18.2659,-0.836174
20.5,-0.619277,-19.2169,-19.2169,-0.75951
20.55,-0.56855,-20.1453,-20.1453,-0.693423
20.6,-0.524631,-21.0509,-21.0509,-0.63611
20.65,-0.486352,-21.9337,-21.9337,-0.586125
20.7,-0.452783,-22.7941,-22.7941,-0.542295
20.75,-0.423177,-23.6325,-23.6325,-0.503671
20.8,-0.396929,-24.4494,-24.4494,-0.469474
20.85,-0.373547,-25.2455,-25.2455,-0.439066
20.9,-0.352627,-26.0213,-26.0213,-0.411917
20.95,-0.333834,-26.7776,-26.7776,-0.387588
21,-0.316891,-27.515,-27.515,-0.36571
21.05,-0.301565,-28.2341,-28.2341,-0.345973
21.1,-0.287659,-28.9355,-28.9355,-0.328116
21.15,-0.275007,-29.62,-29.62,-0.311914
21.2,-0.263467,-30.2881,-30.2881,-0.297177
21.25,-0.252916,-30.9403,-30.9403,-0.283741
21.3,-0.243249,-31.5772,-31.5772,-0.271465
21.35,-0.234375,-32.1994,-32.1994,-0.260226
21.4,-0.226215,-32.8074,-32.8074,-0.249917
21.45,-0.218699,-33.4015,-33.4015,-0.240445
21.5,-0.211766,-33.9824,-33.9824,-0.231727
21.55,-0.205362,-34.5503,-34.5503,-0.223693
21.6,-0.19944,-35.1059,-35.1059,-0.216278
21.65,-0.193957,-35.6493,-35.6493,-0.209425
21.7,-0.188876,-36.1811,-36.1811,-0.203086
21.75,-0.184163,-36.7016,-36.7016,-0.197215
21.8,-0.179787,-37.2111,-37.2111,-0.191772
21.85,-0.175722,-37.71,-37.71,-0.186722
21.9,-0.171944,-38.1986,-38.1986,-0.182033
21.95,-0.16843,-38.6772,-38.6772,-0.177675
22,-0.16516,-39.146,-39.146,-0.173623
22.05,-0.162116,-39.6054,-39.6054,-0.169853
22.1,-0.159282,-40.0556,-40.0556,-0.166343
22.15,-0.156643,-40.4969,-40.4969,-0.163075
22.2,-0.154185,-40.9295,-40.9295,-0.16003
22.25,-0.151895,-41.3537,-41.3537,-0.157194
22.3,-0.149763,-41.7696,-41.7696,-0.15455
22.35,-0.147777,-42.1775,-42.1775,-0.152085
22.4,-0.145928,-42.5776,-42.5776,-0.149788
22.45,-0.144208,-42.9702,-42.9702,-0.147647
22.5,-0.142607,-43.3553,-43.3553,-0.145651
22.55,-0.141119,-43.7332,-43.7332,-0.143792
22.6,-0.139736,-44.104,-44.104,-0.14206
22.65,-0.138452,-44.468,-44.468,-0.140447
22.7,-0.137261,-44.8252,-44.8252,-0.138946
22.75,-0.136158,-45.1759,-45.1759,-0.137549
22.8,-0.135137,-45.5203,-45.5203,-0.136252
22.85,-0.134193,-45.8583,-45.8583,-0.135047
22.9,-0.133323,-46.1903,-46.1903,-0.133929
22.95,-0.132522,-46.5164,-46.5164,-0.132893
23,-0.131786,-46.8366,-46.8366,-0.131935
