candidate,predicted_tx_score,parent,parent_tx_score,min_gap_mm,length_delta_mm,gap_delta_mm,width_delta_mm,params_json,layout_json
tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,-397.363,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.054594,0.097;0.097;0.097;0.097;0.097,-0.01;-0.02;-0.03;-0.02;-0.01,0;0;0;0;0,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006_layout.json
tx_band1_mcfil_r2_cnn038_rand32,-407.666,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.055655,0.090953;0.098933;0.086935;0.098362;0.09209,-0.008625;-0.025049;-0.034028;-0.027736;-0.008939,0.001205;0.000689;0.000978;0.001719;0.001177,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn038_rand32_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn038_rand32_layout.json
tx_band1_mcfil_r2_cnn034_rand28,-412.168,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.054345,0.081666;0.100887;0.088171;0.09834;0.097709,-0.007344;-0.021098;-0.029466;-0.017739;-0.010249,-0.002248;0.000674;0.000592;-0.002829;-0.002316,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn034_rand28_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn034_rand28_layout.json
tx_band1_mcfil_r2_cnn008_rand02,-416.222,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.054269,0.086664;0.094475;0.08658;0.099782;0.08879,-0.007988;-0.024973;-0.030313;-0.026861;-0.010325,0.001659;0.00171;0.001678;-0.001768;-0.001384,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn008_rand02_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn008_rand02_layout.json
tx_band1_mcfil_r2_cnn014_rand08,-417.974,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.052246,0.093454;0.095182;0.097267;0.08105;0.093091,-0.006994;-0.019239;-0.03135;-0.017859;-0.012348,-0.002132;-0.000678;0.001648;-0.001472;-0.001462,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn014_rand08_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn014_rand08_layout.json
tx_band1_mcfil_r2_cnn029_rand23,-418.044,tx_band1_mcfil_r1_cnn002_len_p055_gap_m020,-448.779,0.055474,0.084969;0.098317;0.099974;0.082677;0.085905,-0.00912;-0.026535;-0.037495;-0.021219;-0.007184,-0.00096;-0.00024;0.001239;0.00016;0.001401,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn029_rand23_params.json,D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round2\tx_band1_mcfil_r2_cnn029_rand23_layout.json
