name,substrate,er,h_mm,copper_mm,lower_cutoff_ghz,upper_cutoff_ghz,f0_ghz,order,feed_w_mm,feed_len_mm,feed_gap_t1_mm,feed_tip_w_mm,feed_overlap_mm,lower_w1_mm,lower_arm_l1_mm,lower_span_l2_mm,lower_top_bridge_w_mm,lower_bottom_l2_mm,via_diameter_mm,via_pad_size_mm,via_edge_clearance_mm,via_offset_d1_mm,upper_w1_mm,upper_w2_mm,upper_fold_h_mm,upper_left_l3_mm,upper_right_l4_mm,upper_margin_x_mm,main_gap_s1_mm,side_gap_s2_mm,fold_offset_d2_mm,boundary_margin_mm,min_fab_feature_mm,metal_layer,via_layer,notes
folded_sir_l1_r1_zup_l3210,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.65,7.45,0.76,2.15,0.30,0.42,0.06,0.00,0.30,0.70,1.85,2.10,4.35,0.20,0.24,0.24,0.65,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_zup_l3210; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
folded_sir_l1_r1_zup_h160,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.65,7.45,0.76,2.15,0.30,0.42,0.06,0.00,0.30,0.70,1.60,2.70,4.35,0.20,0.24,0.24,0.65,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_zup_h160; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
folded_sir_l1_r1_zup_combo,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.65,7.45,0.76,2.15,0.30,0.42,0.06,0.00,0.30,0.70,1.60,2.10,4.35,0.35,0.28,0.24,0.90,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_zup_combo; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
folded_sir_l1_r1_s2_018,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.65,7.45,0.76,2.15,0.30,0.42,0.06,0.00,0.30,0.70,1.85,2.70,4.35,0.20,0.24,0.18,0.65,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_s2_018; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
folded_sir_l1_r1_short_main,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.42,7.15,0.76,1.95,0.30,0.42,0.06,0.00,0.30,0.70,1.85,2.70,4.35,0.20,0.24,0.24,0.65,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_short_main; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
folded_sir_l1_r1_wide_combo,substrate3,4.6,0.210,0.035,6.0,8.0,7.0,4,0.391,3.20,1.00,0.18,0.08,0.24,3.42,7.15,0.76,1.95,0.30,0.42,0.06,0.00,0.30,0.70,1.60,2.10,4.35,0.30,0.26,0.18,0.90,3.00,0.1524,cond,pcvia1,"L1 reference rerun of r1_wide_combo; substrate3 FR4 h=0.210 mm, 50-ohm feed width approx 0.391 mm"
