name,substrate,er,h_mm,copper_mm,order,feed_w_mm,high_w_mm,low_w_mm,arm_l_mm,bridge_l_mm,inner_gap_mm,coupling_gap_mm,feed_gap_mm,feed_overlap_mm,feed_len_mm,boundary_margin_mm,min_fab_feature_mm,metal_layer,notes
hilo_sir_l3_r1_l112_g020,FR4_L3_REF,4.6,1.2906,0.035,5,2.35,0.86,3.00,4.76,2.74,0.75,0.20,0.18,3.90,3.00,3.00,0.1524,cond,"base length +12%; stronger coupling/feed; target shift passband from 7.7-8.1 toward 6-8 GHz"
hilo_sir_l3_r1_l115_g018,FR4_L3_REF,4.6,1.2906,0.035,5,2.35,0.86,3.00,4.89,2.82,0.75,0.18,0.18,4.05,3.00,3.00,0.1524,cond,"base length +15%; minimum practical coupling/feed gap 0.18 mm"
