name,substrate,er,h_mm,copper_mm,lower_cutoff_ghz,upper_cutoff_ghz,f0_ghz,order,feed_w_mm,feed_len_mm,feed_gap_t1_mm,feed_tip_w_mm,feed_overlap_mm,lower_w1_mm,lower_arm_l1_mm,lower_span_l2_mm,lower_top_bridge_w_mm,lower_bottom_l2_mm,via_diameter_mm,via_pad_size_mm,via_edge_clearance_mm,via_offset_d1_mm,upper_w1_mm,upper_w2_mm,upper_fold_h_mm,upper_left_l3_mm,upper_right_l4_mm,upper_margin_x_mm,main_gap_s1_mm,side_gap_s2_mm,fold_offset_d2_mm,boundary_margin_mm,min_fab_feature_mm,metal_layer,via_layer,notes
folded_sir_ro4350_r2_l180_long,substrate1,3.66,0.51,0.035,6.0,8.0,7.0,4,1.1252,3.20,1.00,0.18,0.08,0.24,3.80,7.65,0.76,2.25,0.30,0.42,0.06,0.00,0.30,0.70,1.70,1.80,4.35,0.28,0.26,0.24,0.85,3.00,0.1524,cond,pcvia1,"Round2 from r1_l180: lengthen purple U to recover low-edge pole while keeping moderate orange zero-up"
folded_sir_ro4350_r2_l180_s2_020,substrate1,3.66,0.51,0.035,6.0,8.0,7.0,4,1.1252,3.20,1.00,0.18,0.08,0.24,3.65,7.45,0.76,2.15,0.30,0.42,0.06,0.00,0.30,0.70,1.70,1.80,4.35,0.28,0.26,0.20,0.85,3.00,0.1524,cond,pcvia1,"Round2 from r1_l180: reduce S2 to increase odd/even mode splitting and passband bandwidth"
folded_sir_ro4350_r2_l180_long_s2,substrate1,3.66,0.51,0.035,6.0,8.0,7.0,4,1.1252,3.20,1.00,0.18,0.08,0.24,3.80,7.65,0.76,2.25,0.30,0.42,0.06,0.00,0.30,0.70,1.70,1.80,4.35,0.28,0.26,0.20,0.85,3.00,0.1524,cond,pcvia1,"Round2 combine purple U lengthening and S2=0.20 to recover low-edge pole and widen modal splitting"
folded_sir_ro4350_r2_l180_long_s2_topw082,substrate1,3.66,0.51,0.035,6.0,8.0,7.0,4,1.1252,3.20,1.00,0.18,0.08,0.24,3.80,7.65,0.82,2.25,0.30,0.42,0.06,0.00,0.30,0.70,1.70,1.80,4.35,0.28,0.26,0.20,0.85,3.00,0.1524,cond,pcvia1,"Round2 add wider purple top coupling bridge W2=0.82 on long+S2 case for stronger passband coupling"
folded_sir_ro4350_r2_l180_long_s2_feed,substrate1,3.66,0.51,0.035,6.0,8.0,7.0,4,1.1252,3.20,1.00,0.20,0.10,0.24,3.80,7.65,0.76,2.25,0.30,0.42,0.06,0.00,0.30,0.70,1.70,1.80,4.35,0.28,0.26,0.20,0.85,3.00,0.1524,cond,pcvia1,"Round2 add mild feed coupling boost on long+S2 case to lower external Q"
