name,L_mm,tap_mm,Egap_mm,S1_mm,S2_mm,S3_mm,S4_mm,S5_mm,S6_mm,W0_mm,feed_len_mm,feed_taper_len_mm,feed_tip_w_mm,feed_overlap_mm,via_diameter_mm,metal_layer,via_layer,notes
i7_fr4_r11_asym0295,5.5519,1.9543,0.4775,0.12048,0.17441,0.18397,0.18441,0.17433,0.11832,0.35879,3,0.50554,0.19779,0.05808,0.254,cond,pcvia1,refined-NN rank 1; score 113.465; S21@5/6/8 -25.4259/-2.51388/-4.98393 dB; cal S21@5/6/8 -27.0259/-2.51388/-4.98393 dB; S11/S22 -4.88265/-4.80578 dB
i7_fr4_r11_asym0192,5.55204,1.95181,0.4782,0.12361,0.17228,0.18463,0.18503,0.17449,0.12003,0.36096,3,0.51059,0.19422,0.05743,0.254,cond,pcvia1,refined-NN rank 2; score 113.251; S21@5/6/8 -25.5256/-2.62063/-4.59648 dB; cal S21@5/6/8 -27.1256/-2.62063/-4.59648 dB; S11/S22 -5.02096/-4.65509 dB
i7_fr4_r11_asym0409,5.55604,1.95734,0.47483,0.12027,0.17265,0.18548,0.18485,0.17536,0.11714,0.36151,3,0.47656,0.19655,0.05755,0.254,cond,pcvia1,refined-NN rank 3; score 112.28; S21@5/6/8 -25.7477/-2.47014/-4.89567 dB; cal S21@5/6/8 -27.3477/-2.47014/-4.89567 dB; S11/S22 -4.49215/-4.63615 dB
i7_fr4_r11_asym0360,5.55299,1.96107,0.47193,0.12325,0.17485,0.18789,0.18534,0.17474,0.11925,0.35955,3,0.49319,0.20404,0.05722,0.254,cond,pcvia1,refined-NN rank 4; score 111.382; S21@5/6/8 -25.7334/-2.62789/-4.91178 dB; cal S21@5/6/8 -27.3334/-2.62789/-4.91178 dB; S11/S22 -4.61501/-4.29616 dB
i7_fr4_r11_asym0293,5.55216,1.95201,0.47931,0.11905,0.16969,0.18729,0.18917,0.16926,0.11635,0.35878,3,0.52295,0.19748,0.0625,0.254,cond,pcvia1,refined-NN rank 5; score 114.882; S21@5/6/8 -24.1197/-2.60081/-4.23802 dB; cal S21@5/6/8 -25.7197/-2.60081/-4.23802 dB; S11/S22 -5.1154/-5.06768 dB
i7_fr4_r11_asym0086,5.551,1.95378,0.47098,0.11878,0.17121,0.18449,0.18733,0.16897,0.11905,0.36072,3,0.52991,0.19034,0.06283,0.254,cond,pcvia1,refined-NN rank 6; score 114.833; S21@5/6/8 -24.0732/-2.55373/-4.3978 dB; cal S21@5/6/8 -25.6732/-2.55373/-4.3978 dB; S11/S22 -5.07845/-5.19646 dB
i7_fr4_r11_asym0272,5.55118,1.95,0.47582,0.12173,0.17147,0.18442,0.18753,0.16957,0.1182,0.36087,3,0.51207,0.20162,0.05863,0.254,cond,pcvia1,refined-NN rank 7; score 114.812; S21@5/6/8 -24.2724/-2.68966/-4.62727 dB; cal S21@5/6/8 -25.8724/-2.68966/-4.62727 dB; S11/S22 -5.1594/-5.19694 dB
i7_fr4_r11_asym0392,5.55691,1.95449,0.47071,0.11774,0.17375,0.1841,0.18599,0.17277,0.12018,0.36358,3,0.5209,0.19734,0.06074,0.254,cond,pcvia1,refined-NN rank 8; score 114.806; S21@5/6/8 -24.31/-2.61127/-4.59062 dB; cal S21@5/6/8 -25.91/-2.61127/-4.59062 dB; S11/S22 -5.18171/-5.14277 dB
