name,L_mm,tap_mm,Egap_mm,S1_mm,S2_mm,S3_mm,S4_mm,S5_mm,S6_mm,S7_mm,S8_mm,via_diameter_mm,metal_layer,via_layer,notes
interdigital_9o_ro4350b_508um_baseline,6.337,2.143,0.527,0.2891,0.4442,0.4774,0.4871,0.4871,0.4774,0.4442,0.2891,0.50,cond,pcvia1,Marki baseline with round ground vias
interdigital_9o_ro4350b_508um_v2_tuned,6.100,2.143,0.527,0.350,0.500,0.510,0.520,0.520,0.510,0.500,0.350,0.50,cond,pcvia1,Narrower coupling; improved 5 GHz rejection but bandwidth too narrow
interdigital_9o_ro4350b_508um_v3_wide,6.100,2.143,0.527,0.315,0.465,0.490,0.500,0.500,0.490,0.465,0.315,0.50,cond,pcvia1,Wider than v2; still likely narrow at 6 GHz edge
interdigital_9o_ro4350b_508um_v4_more_coupling,6.100,2.143,0.527,0.300,0.450,0.480,0.490,0.490,0.480,0.450,0.300,0.50,cond,pcvia1,More coupling than v3 to pull 6 GHz into passband
