freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.31943,-45.0939,-45.0939,-0.308912
14.05,-0.325961,-44.8824,-44.8824,-0.315228
14.1,-0.332708,-44.665,-44.665,-0.321758
14.15,-0.339682,-44.4414,-44.4414,-0.328511
14.2,-0.346896,-44.2114,-44.2114,-0.3355
14.25,-0.354361,-43.9747,-43.9747,-0.342738
14.3,-0.362091,-43.731,-43.731,-0.350235
14.35,-0.370098,-43.4801,-43.4801,-0.358008
14.4,-0.378398,-43.2215,-43.2215,-0.366071
14.45,-0.387007,-42.9551,-42.9551,-0.374439
14.5,-0.395942,-42.6804,-42.6804,-0.38313
14.55,-0.40522,-42.3972,-42.3972,-0.392163
14.6,-0.414862,-42.1051,-42.1051,-0.401557
14.65,-0.424889,-41.8039,-41.8039,-0.411334
14.7,-0.435324,-41.4931,-41.4931,-0.421516
14.75,-0.446191,-41.1724,-41.1724,-0.43213
14.8,-0.457516,-40.8416,-40.8416,-0.443202
14.85,-0.469329,-40.5003,-40.5003,-0.454761
14.9,-0.481661,-40.1481,-40.1481,-0.46684
14.95,-0.494546,-39.7848,-39.7848,-0.479472
15,-0.508019,-39.4099,-39.4099,-0.492697
15.05,-0.522123,-39.0233,-39.0233,-0.506554
15.1,-0.536899,-38.6245,-38.6245,-0.521088
15.15,-0.552397,-38.2133,-38.2133,-0.536351
15.2,-0.568669,-37.7894,-37.7894,-0.552394
15.25,-0.585772,-37.3524,-37.3524,-0.569278
15.3,-0.603769,-36.9022,-36.9022,-0.587069
15.35,-0.622732,-36.4384,-36.4384,-0.605839
15.4,-0.642736,-35.9607,-35.9607,-0.625668
15.45,-0.663868,-35.469,-35.469,-0.646646
15.5,-0.686222,-34.9629,-34.9629,-0.668871
15.55,-0.709905,-34.4422,-34.4422,-0.692454
15.6,-0.735035,-33.9067,-33.9067,-0.717519
15.65,-0.761745,-33.356,-33.356,-0.744204
15.7,-0.790183,-32.79,-32.79,-0.772668
15.75,-0.820517,-32.2085,-32.2085,-0.803085
15.8,-0.852938,-31.6112,-31.6112,-0.835656
15.85,-0.887661,-30.9978,-30.9978,-0.870609
15.9,-0.92493,-30.3681,-30.3681,-0.908204
15.95,-0.965028,-29.7219,-29.7219,-0.948739
16,-1.00828,-29.0589,-29.0589,-0.992555
16.05,-1.05504,-28.3789,-28.3789,-1.04005
16.1,-1.10576,-27.6816,-27.6816,-1.09168
16.15,-1.16093,-26.9668,-26.9668,-1.14798
16.2,-1.22114,-26.2343,-26.2343,-1.20957
16.25,-1.28706,-25.4839,-25.4839,-1.2772
16.3,-1.3595,-24.7153,-24.7153,-1.35172
16.35,-1.43942,-23.9285,-23.9285,-1.43417
16.4,-1.52795,-23.1234,-23.1234,-1.52578
16.45,-1.62644,-22.3,-22.3,-1.62802
16.5,-1.73653,-21.4584,-21.4584,-1.74266
16.55,-1.86015,-20.599,-20.599,-1.87184
16.6,-1.99968,-19.7223,-19.7223,-2.01815
16.65,-2.15797,-18.8292,-18.8292,-2.18475
16.7,-2.33848,-17.9208,-17.9208,-2.37548
16.75,-2.5454,-16.999,-16.999,-2.59504
16.8,-2.78377,-16.0662,-16.0662,-2.84912
16.85,-3.05964,-15.1256,-15.1256,-3.14464
16.9,-3.38015,-14.1815,-14.1815,-3.48991
16.95,-3.75357,-13.2391,-13.2391,-3.89476
17,-4.18919,-12.3053,-12.3053,-4.37056
17.05,-4.69682,-11.3881,-11.3881,-4.92996
17.1,-5.28587,-10.4967,-10.4967,-5.58611
17.15,-5.96357,-9.64113,-9.64113,-6.35107
17.2,-6.73194,-8.83182,-8.83182,-7.23257
17.25,-7.5833,-8.07837,-8.07837,-8.22853
17.3,-8.49445,-7.38869,-7.38869,-9.31801
17.35,-9.42118,-6.76788,-6.76788,-10.4489
17.4,-10.2978,-6.21762,-6.21762,-11.5273
17.45,-11.0494,-5.73604,-5.73604,-12.4266
17.5,-11.6183,-5.31814,-5.31814,-13.0346
17.55,-11.993,-4.95672,-4.95672,-13.3232
17.6,-12.2127,-4.64348,-4.64348,-13.3666
17.65,-12.3456,-4.36999,-4.36999,-13.2874
17.7,-12.4608,-4.12847,-4.12847,-13.1943
17.75,-12.6131,-3.91227,-3.91227,-13.16
17.8,-12.8406,-3.71608,-3.71608,-13.2252
17.85,-13.169,-3.5359,-3.5359,-13.4117
17.9,-13.6169,-3.36893,-3.36893,-13.7313
17.95,-14.2,-3.21336,-3.21336,-14.1924
18,-14.9351,-3.06816,-3.06816,-14.8026
18.05,-15.8418,-2.93289,-2.93289,-15.5707
18.1,-16.945,-2.80746,-2.80746,-16.5062
18.15,-18.2752,-2.69205,-2.69205,-17.615
18.2,-19.8617,-2.5869,-2.5869,-18.888
18.25,-21.7008,-2.49229,-2.49229,-20.2687
18.3,-23.6316,-2.40844,-2.40844,-21.5834
18.35,-25.0356,-2.33555,-2.33555,-22.463
18.4,-24.935,-2.27372,-2.27372,-22.485
18.45,-23.4122,-2.22305,-2.22305,-21.6254
18.5,-21.4491,-2.18364,-2.18364,-20.2843
18.55,-19.5855,-2.15567,-2.15567,-18.8323
18.6,-17.9418,-2.13947,-2.13947,-17.4436
18.65,-16.505,-2.13557,-2.13557,-16.1693
18.7,-15.2355,-2.14478,-2.14478,-15.0098
18.75,-14.0956,-2.16829,-2.16829,-13.9493
18.8,-13.0542,-2.2077,-2.2077,-12.9691
18.85,-12.0877,-2.2651,-2.2651,-12.0518
18.9,-11.1783,-2.34311,-2.34311,-11.1831
18.95,-10.3138,-2.44492,-2.44492,-10.3525
19,-9.48614,-2.57426,-2.57426,-9.55275
19.05,-8.69119,-2.73534,-2.73534,-8.77994
19.1,-7.92789,-2.93267,-2.93267,-8.03323
19.15,-7.19757,-3.17087,-3.17087,-7.31423
19.2,-6.50324,-3.45438,-3.45438,-6.62633
19.25,-5.84882,-3.787,-3.787,-5.97399
19.3,-5.23832,-4.17161,-4.17161,-5.36188
19.35,-4.67518,-4.60971,-4.60971,-4.79419
19.4,-4.16176,-5.10129,-5.10129,-4.27399
19.45,-3.69895,-5.64466,-5.64466,-3.80286
19.5,-3.28616,-6.23659,-6.23659,-3.3808
19.55,-2.9214,-6.87256,-6.87256,-3.00634
19.6,-2.60156,-7.54713,-7.54713,-2.67676
19.65,-2.32278,-8.25435,-8.25435,-2.3885
19.7,-2.08081,-8.98813,-8.98813,-2.1375
