freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.33921,-43.094,-43.094,-0.316865
14.05,-0.345766,-42.9155,-42.9155,-0.319964
14.1,-0.352524,-42.7325,-42.7325,-0.323094
14.15,-0.359492,-42.5447,-42.5447,-0.326259
14.2,-0.36668,-42.352,-42.352,-0.329463
14.25,-0.374099,-42.1542,-42.1542,-0.332711
14.3,-0.381759,-41.9513,-41.9513,-0.336006
14.35,-0.389672,-41.7431,-41.7431,-0.339352
14.4,-0.39785,-41.5293,-41.5293,-0.342756
14.45,-0.406305,-41.3099,-41.3099,-0.34622
14.5,-0.415052,-41.0846,-41.0846,-0.34975
14.55,-0.424106,-40.8533,-40.8533,-0.35335
14.6,-0.433482,-40.6159,-40.6159,-0.357027
14.65,-0.443197,-40.3721,-40.3721,-0.360784
14.7,-0.453269,-40.1218,-40.1218,-0.364629
14.75,-0.463717,-39.8648,-39.8648,-0.368565
14.8,-0.474563,-39.601,-39.601,-0.372601
14.85,-0.485828,-39.3302,-39.3302,-0.376741
14.9,-0.497536,-39.0522,-39.0522,-0.380993
14.95,-0.509713,-38.7668,-38.7668,-0.385364
15,-0.522386,-38.4739,-38.4739,-0.389861
15.05,-0.535586,-38.1732,-38.1732,-0.394493
15.1,-0.549344,-37.8646,-37.8646,-0.399268
15.15,-0.563696,-37.548,-37.548,-0.404196
15.2,-0.57868,-37.2231,-37.2231,-0.409286
15.25,-0.594337,-36.8898,-36.8898,-0.41455
15.3,-0.610711,-36.5479,-36.5479,-0.419999
15.35,-0.627851,-36.1971,-36.1971,-0.425645
15.4,-0.645811,-35.8374,-35.8374,-0.431503
15.45,-0.664649,-35.4685,-35.4685,-0.437588
15.5,-0.684429,-35.0902,-35.0902,-0.443917
15.55,-0.705221,-34.7023,-34.7023,-0.450507
15.6,-0.727102,-34.3046,-34.3046,-0.45738
15.65,-0.750158,-33.897,-33.897,-0.464557
15.7,-0.774483,-33.4791,-33.4791,-0.472064
15.75,-0.800182,-33.0509,-33.0509,-0.479929
15.8,-0.827371,-32.6119,-32.6119,-0.488182
15.85,-0.85618,-32.1621,-32.1621,-0.496859
15.9,-0.886754,-31.7011,-31.7011,-0.506001
15.95,-0.919256,-31.2287,-31.2287,-0.515651
16,-0.95387,-30.7446,-30.7446,-0.525861
16.05,-0.990803,-30.2485,-30.2485,-0.536689
16.1,-1.03029,-29.7402,-29.7402,-0.548201
16.15,-1.0726,-29.2192,-29.2192,-0.560474
16.2,-1.11803,-28.6853,-28.6853,-0.573597
16.25,-1.16694,-28.1381,-28.1381,-0.587672
16.3,-1.21973,-27.5772,-27.5772,-0.602816
16.35,-1.27686,-27.0022,-27.0022,-0.61917
16.4,-1.33889,-26.4128,-26.4128,-0.636895
16.45,-1.40643,-25.8084,-25.8084,-0.656183
16.5,-1.48025,-25.1888,-25.1888,-0.677259
16.55,-1.56121,-24.5533,-24.5533,-0.700392
16.6,-1.65038,-23.9016,-23.9016,-0.7259
16.65,-1.74899,-23.2332,-23.2332,-0.754167
16.7,-1.85856,-22.5476,-22.5476,-0.785648
16.75,-1.98091,-21.8445,-21.8445,-0.820898
16.8,-2.11827,-21.1235,-21.1235,-0.86058
16.85,-2.27338,-20.3843,-20.3843,-0.9055
16.9,-2.44963,-19.6268,-19.6268,-0.956633
16.95,-2.65125,-18.8511,-18.8511,-1.01516
17,-2.88357,-18.0575,-18.0575,-1.08249
17.05,-3.15333,-17.2467,-17.2467,-1.16032
17.1,-3.46915,-16.42,-16.42,-1.25066
17.15,-3.84217,-15.5794,-15.5794,-1.35583
17.2,-4.2868,-14.7278,-14.7278,-1.47843
17.25,-4.82194,-13.8694,-13.8694,-1.6212
17.3,-5.4725,-13.0098,-13.0098,-1.78678
17.35,-6.27145,-12.1566,-12.1566,-1.97715
17.4,-7.26259,-11.3193,-11.3193,-2.19285
17.45,-8.50328,-10.5095,-10.5095,-2.43182
17.5,-10.0644,-9.74049,-9.74049,-2.688
17.55,-12.0105,-9.02618,-9.02618,-2.95023
17.6,-14.2819,-8.37992,-8.37992,-3.20223
17.65,-16.2303,-7.81238,-7.81238,-3.42455
17.7,-16.3239,-7.32979,-7.32979,-3.5987
17.75,-14.5708,-6.9327,-6.9327,-3.71217
17.8,-12.505,-6.61591,-6.61591,-3.76186
17.85,-10.7725,-6.36947,-6.36947,-3.75413
17.9,-9.43389,-6.1805,-6.1805,-3.70209
17.95,-8.42639,-6.03508,-6.03508,-3.62203
18,-7.68119,-5.91991,-5.91991,-3.53056
18.05,-7.14305,-5.82327,-5.82327,-3.44239
18.1,-6.77054,-5.73558,-5.73558,-3.36854
18.15,-6.53336,-5.6494,-5.6494,-3.31555
18.2,-6.40973,-5.55938,-5.55938,-3.28601
18.25,-6.38432,-5.46195,-5.46195,-3.28001
18.3,-6.44677,-5.3551,-5.3551,-3.29649
18.35,-6.59047,-5.23815,-5.23815,-3.33397
18.4,-6.81153,-5.11163,-5.11163,-3.39087
18.45,-7.10771,-4.97714,-4.97714,-3.46531
18.5,-7.47695,-4.83735,-4.83735,-3.55481
18.55,-7.91506,-4.696,-4.696,-3.65581
18.6,-8.41173,-4.55798,-4.55798,-3.76306
18.65,-8.94399,-4.42929,-4.42929,-3.86895
18.7,-9.46656,-4.31715,-4.31715,-3.96299
18.75,-9.90258,-4.22982,-4.22982,-4.03175
18.8,-10.1461,-4.17645,-4.17645,-4.05977
18.85,-10.0951,-4.16659,-4.16659,-4.03189
18.9,-9.70964,-4.20954,-4.20954,-3.93687
18.95,-9.04369,-4.31355,-4.31355,-3.77119
19,-8.21116,-4.48484,-4.48484,-3.54123
19.05,-7.32604,-4.72691,-4.72691,-3.26225
19.1,-6.46908,-5.04002,-5.04002,-2.95463
19.15,-5.68508,-5.42126,-5.42126,-2.63911
19.2,-4.9927,-5.86495,-5.86495,-2.33302
19.25,-4.39463,-6.36351,-6.36351,-2.04849
19.3,-3.88501,-6.90829,-6.90829,-1.79243
19.35,-3.45405,-7.4904,-7.4904,-1.56748
19.4,-3.09076,-8.10141,-8.10141,-1.37328
19.45,-2.78442,-8.73368,-8.73368,-1.20773
19.5,-2.52533,-9.3806,-9.3806,-1.06779
19.55,-2.3051,-10.0366,-10.0366,-0.950183
19.6,-2.11667,-10.6972,-10.6972,-0.85168
19.65,-1.95421,-11.3586,-11.3586,-0.769339
19.7,-1.813,-12.0181,-12.0181,-0.700567
19.75,-1.68921,-12.6733,-12.6733,-0.643132
19.8,-1.57978,-13.3225,-13.3225,-0.595148
19.85,-1.48227,-13.9644,-13.9644,-0.555035
19.9,-1.39473,-14.5979,-14.5979,-0.521478
19.95,-1.31558,-15.2225,-15.2225,-0.493388
20,-1.24358,-15.8374,-15.8374,-0.469863
20.05,-1.17771,-16.4424,-16.4424,-0.450158
20.1,-1.11716,-17.0372,-17.0372,-0.433655
20.15,-1.06126,-17.6217,-17.6217,-0.419841
20.2,-1.00947,-18.1958,-18.1958,-0.408291
20.25,-0.961319,-18.7595,-18.7595,-0.398651
20.3,-0.916443,-19.3129,-19.3129,-0.390625
20.35,-0.874516,-19.856,-19.856,-0.383965
20.4,-0.835265,-20.3889,-20.3889,-0.378463
20.45,-0.798456,-20.9118,-20.9118,-0.373945
20.5,-0.763885,-21.4248,-21.4248,-0.370263
20.55,-0.731372,-21.9282,-21.9282,-0.367291
20.6,-0.70076,-22.4219,-22.4219,-0.364923
20.65,-0.671908,-22.9063,-22.9063,-0.36307
20.7,-0.644691,-23.3816,-23.3816,-0.361654
20.75,-0.618994,-23.8478,-23.8478,-0.36061
20.8,-0.594715,-24.3053,-24.3053,-0.359881
20.85,-0.571761,-24.7541,-24.7541,-0.359418
20.9,-0.550045,-25.1945,-25.1945,-0.359182
20.95,-0.529488,-25.6266,-25.6266,-0.359134
21,-0.510019,-26.0507,-26.0507,-0.359246
21.05,-0.491569,-26.4669,-26.4669,-0.35949
21.1,-0.474078,-26.8754,-26.8754,-0.359843
21.15,-0.457488,-27.2764,-27.2764,-0.360286
21.2,-0.441746,-27.67,-27.67,-0.360802
21.25,-0.426801,-28.0565,-28.0565,-0.361376
21.3,-0.412609,-28.4358,-28.4358,-0.361995
21.35,-0.399125,-28.8084,-28.8084,-0.362649
21.4,-0.38631,-29.1741,-29.1741,-0.363328
21.45,-0.374126,-29.5334,-29.5334,-0.364025
21.5,-0.362537,-29.8862,-29.8862,-0.364733
21.55,-0.351512,-30.2327,-30.2327,-0.365447
21.6,-0.34102,-30.5731,-30.5731,-0.366161
21.65,-0.331031,-30.9075,-30.9075,-0.366872
21.7,-0.321519,-31.236,-31.236,-0.367577
21.75,-0.312458,-31.5587,-31.5587,-0.368274
21.8,-0.303825,-31.8758,-31.8758,-0.368961
21.85,-0.295597,-32.1875,-32.1875,-0.369636
21.9,-0.287753,-32.4937,-32.4937,-0.3703
21.95,-0.280274,-32.7947,-32.7947,-0.370952
22,-0.27314,-33.0905,-33.0905,-0.371591
22.05,-0.266336,-33.3812,-33.3812,-0.37222
22.1,-0.259844,-33.667,-33.667,-0.372838
22.15,-0.253648,-33.9479,-33.9479,-0.373447
22.2,-0.247735,-34.2241,-34.2241,-0.374048
22.25,-0.24209,-34.4956,-34.4956,-0.374643
22.3,-0.236701,-34.7625,-34.7625,-0.375234
22.35,-0.231555,-35.025,-35.025,-0.375824
22.4,-0.22664,-35.283,-35.283,-0.376414
22.45,-0.221947,-35.5368,-35.5368,-0.377008
22.5,-0.217464,-35.7864,-35.7864,-0.377609
22.55,-0.213183,-36.0318,-36.0318,-0.378219
22.6,-0.209093,-36.2731,-36.2731,-0.378842
22.65,-0.205186,-36.5104,-36.5104,-0.37948
22.7,-0.201454,-36.7439,-36.7439,-0.380139
22.75,-0.197889,-36.9735,-36.9735,-0.380821
22.8,-0.194484,-37.1993,-37.1993,-0.38153
22.85,-0.191231,-37.4214,-37.4214,-0.38227
22.9,-0.188125,-37.6399,-37.6399,-0.383045
22.95,-0.185158,-37.8549,-37.8549,-0.383859
23,-0.182326,-38.0663,-38.0663,-0.384717
