candidate,cell,notes,source,target_profile,status,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db
folded_sir_ro4350_r3_pole_long_l160_s2,folded_sir_ro4350_r3_pole_long_l160_s2_mm_coords,Round3 pole recovery: combine longer purple U with shorter orange folded SIR and S2=0.20,SIM\ADS\results\folded_sir_bpf_ro4350_round3\folded_sir_ro4350_r3_pole_long_l160_s2_mm_coords_rfpro.csv,fr4_25db,TUNE,-11.00,-25.80,-7.48,-21.72,-32.69,-59.31,57.92,-0.14,-0.13
folded_sir_ro4350_r3_pole_long_l160_s1_030,folded_sir_ro4350_r3_pole_long_l160_s1_030_mm_coords,Round3 pole recovery: relax S1 to weaken orange shunt cancellation,SIM\ADS\results\folded_sir_bpf_ro4350_round3\folded_sir_ro4350_r3_pole_long_l160_s1_030_mm_coords_rfpro.csv,fr4_25db,TUNE,-11.17,-27.37,-1.48,-39.03,-30.77,-57.54,56.20,-0.14,-0.14
folded_sir_ro4350_r3_pole_mid_l160_s2,folded_sir_ro4350_r3_pole_mid_l160_s2_mm_coords,Round3 pole recovery: moderate purple length to avoid pulling poles too low,SIM\ADS\results\folded_sir_bpf_ro4350_round3\folded_sir_ro4350_r3_pole_mid_l160_s2_mm_coords_rfpro.csv,fr4_25db,LOCKED,,,,,,,,,
folded_sir_ro4350_r3_pole_long_l150_s2,folded_sir_ro4350_r3_pole_long_l150_s2_mm_coords,Round3 pole recovery: stronger high-side zero lift by further shortening orange SIR,SIM\ADS\results\folded_sir_bpf_ro4350_round3\folded_sir_ro4350_r3_pole_long_l150_s2_mm_coords_rfpro.csv,fr4_25db,TUNE,-11.13,-24.37,-16.27,-5.96,-35.96,-60.31,58.71,-0.13,-0.14
folded_sir_ro4350_r3_pole_long_l160_topw068,folded_sir_ro4350_r3_pole_long_l160_topw068_mm_coords,Round3 pole recovery: reduce purple top bridge width to test weaker capacitive loading,SIM\ADS\results\folded_sir_bpf_ro4350_round3\folded_sir_ro4350_r3_pole_long_l160_topw068_mm_coords_rfpro.csv,fr4_25db,TUNE,-10.88,-26.45,-6.19,-23.45,-32.54,-58.69,57.24,-0.14,-0.13
