frequency_hz	frequency_ghz	s11_real	s11_imag	s11_mag	s11_db	s11_phase_deg	s21_real	s21_imag	s21_mag	s21_db	s21_phase_deg	s12_real	s12_imag	s12_mag	s12_db	s12_phase_deg	s22_real	s22_imag	s22_mag	s22_db	s22_phase_deg
4000000000.0	4.0	0.28627660193844406	0.9501817275137407	0.9923707009572678	-0.06652132895629292	73.23317291688241	0.005833948966137196	-0.002363779532574244	0.0062946337636204195	-44.02059066160915	-22.05663893089001	0.005833948966137196	-0.002363779532574244	0.0062946337636204195	-44.02059066160915	-22.05663893089001	0.2895766339359881	0.9490390769729552	0.9922347487078731	-0.06771135515150987	73.03168195293
4062500000.0	4.0625	0.3223303363379688	0.9380662254571381	0.9918997374065337	-0.0706444942496455	71.03668971866226	0.006247911127545261	-0.0028329605198763007	0.006860179207927567	-43.27329078208221	-24.39073848122003	0.006247911127545261	-0.0028329605198763007	0.006860179207927567	-43.27329078208221	-24.39073848122003	0.3260189506747787	0.9366344697066401	0.9917522301672544	-0.07193628497150677	70.8082755316539
4125000000.0	4.125	0.3585439904378862	0.9242874401100183	0.9913934965614076	-0.07507868696631781	68.79803226335434	0.006698881135310777	-0.003378495940475161	0.007502615762840967	-42.49574589666886	-26.7635154061986	0.006698881135310777	-0.003378495940475161	0.007502615762840967	-42.49574589666886	-26.7635154061986	0.36262898327536	0.9225203898034154	0.9912333979010024	-0.07648147162780751	68.54095180184909
4187500000.0	4.1875	0.39488276730519034	0.9087608191977292	0.9908474284285815	-0.07986426837247196	66.51366466541728	0.007191543791643396	-0.004015928211058324	0.008236867214147547	-41.68475870370333	-29.18002436199614	0.007191543791643396	-0.004015928211058324	0.008236867214147547	-41.68475870370333	-29.18002436199614	0.3993695737521902	0.9066080296276653	0.9906735970158707	-0.08138822946187828	66.2260462704142
4250000000.0	4.25	0.4313086822269835	0.8913920186472268	0.9902559821946822	-0.0850505063442766	64.17953075366188	0.0077312268314910755	-0.004764847272172745	0.009081609870892913	-40.836743170387024	-31.646023219011607	0.0077312268314910755	-0.004764847272172745	0.009081609870892913	-40.836743170387024	-31.646023219011607	0.4361998593202301	0.888798443653704	0.9900671647480462	-0.08670684966453066	63.85936021000635
4312500000.0	4.3125	0.4677799992300983	0.872074744017818	0.9896122911693517	-0.09069838653837495	61.79093672500249	0.008323943468836883	-0.005650184919201532	0.010060448523478692	-39.94765313524485	-34.16815228755354	0.008323943468836883	-0.005650184919201532	0.010060448523478692	-39.94765313524485	-34.16815228755354	0.4730745835319987	0.8689803715189771	0.9894071192735746	-0.09249937993998905	61.43604258186286
4375000000.0	4.375	0.5042504906926671	0.8506879200247612	0.9889077280716589	-0.09688458380581055	59.34239721943364	0.008976392760813384	-0.006704007394453296	0.011203541499957385	-39.01289345593571	-36.75416731823621	0.008976392760813384	-0.006704007394453296	0.011203541499957385	-39.01289345593571	-36.75416731823621	0.5099431902133168	0.8470274043866696	0.9886847227640132	-0.09884353090667103	58.95043614091183
4437500000.0	4.4375	0.5406684376262404	0.8270919146594327	0.9881312639220591	-0.10370719305672427	56.82742995271508	0.009695872239713292	-0.007968034560575491	0.012549881005307113	-38.027207840604675	-39.413248266278366	0.009695872239713292	-0.007968034560575491	0.012549881005307113	-38.027207840604675	-39.413248266278366	0.5467486029602583	0.8227942359593904	0.9878888548652581	-0.10583828302406217	56.3958735560545
4500000000.0	4.5	0.5769752369463195	0.8011234052583314	0.9872685219847568	-0.11129419573178777	54.23827648559098	0.010490018060341286	-0.009497237584610635	0.014150547715365197	-36.98453499762468	-42.15641697041874	0.010490018060341286	-0.009497237584610635	0.014150547715365197	-36.98453499762468	-42.15641697041874	0.5834255358837225	0.7961116115312256	0.9870050931662175	-0.11361212536559064	53.76440233559116
4562500000.0	4.5625	0.6131033911601692	0.7725882488949518	0.9863003450180211	-0.1198162991135299	51.56551446590595	0.011366213827958167	-0.011365069264247499	0.016073444439945368	-35.87782093272456	-44.997115047589546	0.011366213827958167	-0.011365069264247499	0.016073444439945368	-35.87782093272456	-44.997115047589546	0.6198980823600254	0.7667793832929405	0.9860143280686843	-0.12233548300225743	51.04640601374519
