sparam,points,max_abs_delta_db,mean_abs_delta_db,rms_delta_db,passband_mean_abs_delta_db,delta_at_5g_db,delta_at_6g_db,delta_at_7g_db,delta_at_8g_db,delta_at_9g_db
s11,40,11.4281,3.00139,4.10895,4.38188,-0.515954,-6.09301,-1.49337,-2.98783,-2.02612
s21,40,31.8966,6.20912,9.645,1.21163,5.06359,-0.736627,-1.34882,-0.919926,19.7919
s22,40,10.4688,2.84392,3.83568,3.82154,-0.510243,-6.09826,-1.81492,-3.32128,-1.95116
