name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r4_11_remove02_03_add04_02_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100000010111;1110001111000111;1001010110101001;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4411,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_12_remove02_03_add04_02_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100000010111;1110001111000111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4412,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_13_remove02_03_add04_02_keep_a03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100000010111;1111001111001111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4413,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=0; add_groups=3; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_14_remove02_03_add04_02_repair1_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4414,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=1; add_groups=1; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_15_remove02_03_add04_02_repair1_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100110010111;1110001111000111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4415,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=1; add_groups=2; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_16_remove02_03_add04_02_repair1_a03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100110010111;1111001111001111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4416,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=1; add_groups=3; filled_pixels=148/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_17_remove02_03_add04_02_repair2_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4417,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=2; add_groups=1; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_18_remove02_03_add04_02_repair2_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4418,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=2; add_groups=2; filled_pixels=148/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_19_remove02_03_add04_02_repair2_a03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1111001111001111;1011010110101101;1101101111011011;1011110110111101;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4419,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add04_02; restore_groups=2; add_groups=3; filled_pixels=150/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_20_remove02_03_add02_01_keep_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100000010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4420,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=1; filled_pixels=142/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_21_remove02_03_add02_01_keep_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110001111000111;1110100000010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4421,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=0; add_groups=2; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_22_remove02_03_add02_01_repair1_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4422,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=1; add_groups=1; filled_pixels=144/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_23_remove02_03_add02_01_repair1_a02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110001111000111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4423,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=1; add_groups=2; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
pixel_qr16_fr4_210um_r4_24_remove02_03_add02_01_repair2_a01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001011111101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4424,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,R4 local notch-combo candidate; passband_base=pixel_qr16_fr4_210um_r3_remove02_03; notch_donor=pixel_qr16_fr4_210um_r3_add02_01; restore_groups=2; add_groups=1; filled_pixels=146/256. Use surrogate 6G/8G guard before ADS/RFPro.
