name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r2a_edge_stubs,16,0.35,0.35,0.10,0.00,0.38,2.00,0.45,custom,1000000000000001;1000000000000001;1110000000000111;1110000000000111;1000000000000001;1111000000001111;1000000000000001;1111111111111111;1111111111111111;1000000000000001;1111000000001111;1000000000000001;1110000000000111;1110000000000111;1000000000000001;1000000000000001,0,0.50,true,true,true,BFP_lib:substrate4,4.6,0.210,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,Edge-loaded through path with side stubs; tests edge-coupled stopband formation.
pixel_qr16_fr4_210um_r2a_qr_sparse_s1,16,0.35,0.35,0.10,0.00,0.38,2.00,0.45,qr_seed,,1,0.42,true,true,true,BFP_lib:substrate4,4.6,0.210,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,Generated qr_seed with lower fill probability; tests whether lower metal density creates stronger selectivity.
