name,matrix_n,pixel_mm,cell_pitch_mm,pixel_overfill_ratio,gap_mm,feed_w_mm,feed_len_mm,coupling_overlap_mm,pattern,custom_mask_rows,seed,fill_probability,mirror_x,force_edge_coupling,connect_adjacent_pixels,substrate,er,h_mm,copper_mm,min_fab_gap_mm,min_fab_feature_mm,metal_layer,via_layer,boundary_layer,notes
pixel_qr16_fr4_210um_r3_remove02_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010000101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1100011111100011;1000010110100001;0110110110110110,4211,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove02_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110000110000111;1110100000010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4312,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove04_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001000000001001;1101101111011011;1001110110111001;1000000110000001;1111101111011111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010000100001;0110110110110110,4413,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=4, filled_pixels=136/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove04_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101001011011;1001110110111001;1000000110000001;1011111111111101;0011000110001100;0001000110001000;0000100110010000;0101001111001010;1101011111101011;1000010000100001;0110110110110110,4514,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=4, filled_pixels=136/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove04_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010000101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111001111001111;0001000110001000;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4615,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=4, filled_pixels=136/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_remove04_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001000110001001;1100101111010011;1001110000111001;1000000110000001;1111111111111111;0011000110001100;0001010000101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,4716,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=remove, pair_count=4, filled_pixels=136/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle02_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1011010110101101;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1111011111101111;1000010110100001;0110110110110110,4817,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=2, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle02_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0011000000001100;0001010110101000;0000100110010000;1101001111001011;1101011111101011;1000010110100001;0110110110110110,4918,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=2, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle02_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1010001111000101;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111111111111111;0111000110001110;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,5019,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=2, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle02_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100000010111;1110001111000111;1001010110101001;1101100110011011;1001110110111001;1000000110000001;1111111111111111;0011000110001100;0001010110101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,5120,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=2, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle04_00,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000100110010001;1111111111111111;0011000110001100;0001000000001000;0000100110010000;0101001111001010;1101011111101011;1010010110100101;0110110110110110,5221,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=4, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle04_01,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111110110111111;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000000110000001;1111101111011111;0011000000001100;0001010110101000;0000101111010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,5322,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=4, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle04_02,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,0111010110101110;1110100110010111;1110100110010111;1110001111000111;1001010110101001;1101101111011011;1001110110111001;1000100000010001;1111111111111111;0011000110001100;0001010000101000;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,5423,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=4, filled_pixels=140/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
pixel_qr16_fr4_210um_r3_toggle04_03,16,0.35,0.35,0.1,0,0.38,2,0.45,custom,1111010110101111;1110100110010111;1110100110010111;1110001111000111;1001010000101001;1101101111011011;1101110000111011;1000000110000001;1111111111111111;0011000110001100;1001010110101001;0000100110010000;0101001111001010;1101011111101011;1000010110100001;0110110110110110,5524,0.5,true,true,true,BFP_lib:substrate4,4.6,0.21,0.035,0.1016,0.1016,cond,pcvia1,EM_BOUNDARY,"R3 mirrored pixel mutation from p035_fw038_ol045; mode=toggle, pair_count=4, filled_pixels=144/256. Used for S21 surrogate data collection and 6-8 GHz BPF feedback."
