candidate,cell,notes,source,target_profile,status,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db
folded_sir_l1h512_r2_zup_ref,folded_sir_l1h512_r2_zup_ref_mm_coords,"round2 reference from l1h512_r1_zup_l3210; good 6 GHz, zero near 6.81 GHz",E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_zup_ref_mm_coords_rfpro.csv,fr4_25db,TUNE,-27.37,-2.64,-36.05,-32.85,-33.86,-48.72,46.08,-0.24,-0.24
folded_sir_l1h512_r2_zup_l180,folded_sir_l1h512_r2_zup_l180_mm_coords,moderate orange shortening from zup_ref to move 6.81 GHz zero upward while preserving long purple low-edge pole,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_zup_l180_mm_coords_rfpro.csv,fr4_25db,TUNE,-18.22,-13.75,-21.18,-32.61,-32.80,-49.77,47.25,-0.26,-0.25
folded_sir_l1h512_r2_zup_l160,folded_sir_l1h512_r2_zup_l160_mm_coords,stronger orange shortening from zup_ref; target zero above 7.5 GHz,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_zup_l160_mm_coords_rfpro.csv,fr4_25db,TUNE,-17.42,-25.54,-4.06,-34.92,-33.13,-51.78,48.87,-0.27,-0.26
folded_sir_l1h512_r2_zup_strong,folded_sir_l1h512_r2_zup_strong_mm_coords,aggressive orange zero-up on zup_ref; trade 6 GHz strength for moving the notch toward high edge,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_zup_strong_mm_coords_rfpro.csv,fr4_25db,TUNE,-15.77,-37.01,-6.24,-45.19,-34.12,-50.80,47.01,-0.28,-0.25
folded_sir_l1h512_r2_wide_ref,folded_sir_l1h512_r2_wide_ref_mm_coords,"round2 reference from l1h512_r1_wide_combo; dual peaks near 6.33/6.70 GHz, zero near 7.15 GHz",E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_wide_ref_mm_coords_rfpro.csv,fr4_25db,TUNE,-12.78,-13.24,-23.11,-28.26,-29.68,-42.75,40.55,-0.26,-0.26
folded_sir_l1h512_r2_wide_l180,folded_sir_l1h512_r2_wide_l180_mm_coords,moderate orange zero-up from wide_ref while keeping S2=0.18 modal coupling,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_wide_l180_mm_coords_rfpro.csv,fr4_25db,TUNE,-10.85,-40.87,-8.79,-33.35,-31.31,-43.06,36.90,-0.26,-0.28
folded_sir_l1h512_r2_wide_l160,folded_sir_l1h512_r2_wide_l160_mm_coords,strong orange zero-up from wide_ref; target zero above 8 GHz,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_wide_l160_mm_coords_rfpro.csv,fr4_25db,TUNE,-8.97,-24.55,-3.78,-43.50,-29.70,-44.71,41.29,-0.31,-0.28
folded_sir_l1h512_r2_wide_strong,folded_sir_l1h512_r2_wide_strong_mm_coords,aggressive orange shortening from wide_ref; check if the notch can be pushed beyond passband,E:\OneDrive\4.Code\PICO\RP2350\RP2350_PIO_TRIG\RP2350_TRIGRP2350_TRIG\SIM\ADS\results\folded_sir_bpf_l1_h512_round2\folded_sir_l1h512_r2_wide_strong_mm_coords_rfpro.csv,fr4_25db,TUNE,-8.07,-20.64,-19.47,-9.34,-32.67,-46.44,41.61,-0.28,-0.27
