freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.239798,-49.1242,-49.1242,-0.209551
14.05,-0.244336,-48.9596,-48.9596,-0.213203
14.1,-0.249022,-48.7906,-48.7906,-0.216965
14.15,-0.253864,-48.6169,-48.6169,-0.220843
14.2,-0.258869,-48.4382,-48.4382,-0.224842
14.25,-0.264046,-48.2543,-48.2543,-0.228967
14.3,-0.269405,-48.0649,-48.0649,-0.233227
14.35,-0.274955,-47.8696,-47.8696,-0.237627
14.4,-0.280707,-47.668,-47.668,-0.242175
14.45,-0.286672,-47.4598,-47.4598,-0.246879
14.5,-0.292862,-47.2447,-47.2447,-0.251747
14.55,-0.299292,-47.0221,-47.0221,-0.256789
14.6,-0.305974,-46.7917,-46.7917,-0.262014
14.65,-0.312925,-46.553,-46.553,-0.267434
14.7,-0.320161,-46.3055,-46.3055,-0.273059
14.75,-0.327701,-46.0488,-46.0488,-0.278902
14.8,-0.335563,-45.7824,-45.7824,-0.284977
14.85,-0.343769,-45.5057,-45.5057,-0.291297
14.9,-0.352342,-45.2182,-45.2182,-0.297879
14.95,-0.361307,-44.9192,-44.9192,-0.304739
15,-0.370693,-44.6084,-44.6084,-0.311897
15.05,-0.380528,-44.285,-44.285,-0.319373
15.1,-0.390847,-43.9485,-43.9485,-0.327188
15.15,-0.401685,-43.5983,-43.5983,-0.335367
15.2,-0.413083,-43.2338,-43.2338,-0.343937
15.25,-0.425084,-42.8545,-42.8545,-0.352927
15.3,-0.437738,-42.4596,-42.4596,-0.362369
15.35,-0.451098,-42.0487,-42.0487,-0.372298
15.4,-0.465224,-41.6212,-41.6212,-0.382755
15.45,-0.480183,-41.1765,-41.1765,-0.393782
15.5,-0.496049,-40.714,-40.714,-0.405429
15.55,-0.512907,-40.2333,-40.2333,-0.417749
15.6,-0.530851,-39.7337,-39.7337,-0.430803
15.65,-0.549985,-39.2149,-39.2149,-0.444659
15.7,-0.570429,-38.6763,-38.6763,-0.459394
15.75,-0.59232,-38.1175,-38.1175,-0.475093
15.8,-0.61581,-37.5379,-37.5379,-0.491854
15.85,-0.641078,-36.9372,-36.9372,-0.509789
15.9,-0.668325,-36.3149,-36.3149,-0.529025
15.95,-0.697785,-35.6705,-35.6705,-0.549707
16,-0.729726,-35.0037,-35.0037,-0.572002
16.05,-0.764463,-34.3138,-34.3138,-0.596104
16.1,-0.802363,-33.6005,-33.6005,-0.622237
16.15,-0.843855,-32.8633,-32.8633,-0.650663
16.2,-0.889447,-32.1017,-32.1017,-0.68169
16.25,-0.939741,-31.3151,-31.3151,-0.715679
16.3,-0.995458,-30.5029,-30.5029,-0.75306
16.35,-1.05746,-29.6647,-29.6647,-0.794343
16.4,-1.1268,-28.7997,-28.7997,-0.84014
16.45,-1.20474,-27.9075,-27.9075,-0.89119
16.5,-1.29283,-26.9874,-26.9874,-0.948384
16.55,-1.39301,-26.0389,-26.0389,-1.01281
16.6,-1.50766,-25.0616,-25.0616,-1.0858
16.65,-1.63975,-24.0553,-24.0553,-1.16898
16.7,-1.79301,-23.02,-23.02,-1.26436
16.75,-1.97218,-21.9561,-21.9561,-1.37441
16.8,-2.18323,-20.8647,-20.8647,-1.50215
16.85,-2.43371,-19.7478,-19.7478,-1.65127
16.9,-2.73317,-18.6086,-18.6086,-1.82616
16.95,-3.09349,-17.452,-17.452,-2.03188
17,-3.52909,-16.2852,-16.2852,-2.27398
17.05,-4.05671,-15.1181,-15.1181,-2.55788
17.1,-4.69384,-13.9639,-13.9639,-2.88759
17.15,-5.4546,-12.8389,-12.8389,-3.26365
17.2,-6.34043,-11.7624,-11.7624,-3.68002
17.25,-7.32245,-10.7542,-10.7542,-4.12101
17.3,-8.31594,-9.83228,-9.83228,-4.56031
17.35,-9.16608,-9.00943,-9.00943,-4.96539
17.4,-9.69557,-8.29018,-8.29018,-5.30853
17.45,-9.82937,-7.67008,-7.67008,-5.57962
17.5,-9.6641,-7.13709,-7.13709,-5.79177
17.55,-9.38119,-6.67469,-6.67469,-5.9759
17.6,-9.13279,-6.26541,-6.26541,-6.16969
17.65,-9.00887,-5.89369,-5.89369,-6.40868
17.7,-9.05531,-5.54752,-5.54752,-6.72282
17.75,-9.29757,-5.21909,-5.21909,-7.13676
17.8,-9.75629,-4.9047,-4.9047,-7.6713
17.85,-10.4559,-4.60417,-4.60417,-8.34386
17.9,-11.4282,-4.32011,-4.32011,-9.16595
17.95,-12.71,-4.05691,-4.05691,-10.1346
18,-14.321,-3.81977,-3.81977,-11.2121
18.05,-16.1728,-3.61362,-3.61362,-12.2881
18.1,-17.7917,-3.44213,-3.44213,-13.1403
18.15,-18.1495,-3.30698,-3.30698,-13.485
18.2,-16.9328,-3.20745,-3.20745,-13.196
18.25,-15.1179,-3.14049,-3.14049,-12.4405
18.3,-13.415,-3.1011,-3.1011,-11.4998
18.35,-12.0096,-3.083,-3.083,-10.5736
18.4,-10.8994,-3.07938,-3.07938,-9.75492
18.45,-10.043,-3.08358,-3.08358,-9.07315
18.5,-9.39897,-3.08964,-3.08964,-8.52894
18.55,-8.93354,-3.09262,-3.09262,-8.11222
18.6,-8.62074,-3.08885,-3.08885,-7.81019
18.65,-8.44112,-3.07594,-3.07594,-7.61034
18.7,-8.38011,-3.0528,-3.0528,-7.50144
18.75,-8.42648,-3.01952,-3.01952,-7.47345
18.8,-8.57082,-2.97731,-2.97731,-7.51711
18.85,-8.80371,-2.92829,-2.92829,-7.62325
18.9,-9.11354,-2.87536,-2.87536,-7.78213
18.95,-9.48373,-2.82195,-2.82195,-7.98279
19,-9.88936,-2.77182,-2.77182,-8.21277
19.05,-10.294,-2.72888,-2.72888,-8.45827
19.1,-10.6483,-2.69697,-2.69697,-8.70485
19.15,-10.894,-2.67987,-2.67987,-8.93852
19.2,-10.9746,-2.68136,-2.68136,-9.14647
19.25,-10.852,-2.70554,-2.70554,-9.31637
19.3,-10.5173,-2.75739,-2.75739,-9.43335
19.35,-9.98957,-2.84344,-2.84344,-9.47466
19.4,-9.30447,-2.97256,-2.97256,-9.40481
19.45,-8.50241,-3.15656,-3.15656,-9.17725
19.5,-7.62393,-3.41017,-3.41017,-8.74977
19.55,-6.70974,-3.75012,-3.75012,-8.11142
19.6,-5.80103,-4.19279,-4.19279,-7.30088
19.65,-4.93685,-4.75092,-4.75092,-6.39641
19.7,-4.14924,-5.43009,-5.43009,-5.48475
19.75,-3.45891,-6.2266,-6.2266,-4.63389
19.8,-2.87371,-7.12776,-7.12776,-3.88293
19.85,-2.39044,-8.11439,-8.11439,-3.24542
