frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9979013294271121,-0.018247975932491913,1.725121173596533,0.0004814476358997482,-66.34901883024762,-0.2511123245593389,0.0004814476358997482,-66.34901883024762,-0.2511123245593389,0.9978413114202418,-0.01877039778534933,1.716993612193079
5000000000.0,0.9926334465819351,-0.06422190855971348,1.1342371299449037,0.007479624922111936,-42.52240359977307,-0.7069233332050746,0.007479624922111936,-42.52240359977307,-0.7069233332050746,0.9920616940675447,-0.06922638433631817,1.1098012904258434
5500000000.0,0.9380242540858157,-0.5557186422384718,0.5285355718082804,0.14159642497031472,-16.978954231691244,-1.4623825249837967,0.14159642497031472,-16.978954231691244,-1.4623825249837967,0.9137946580717639,-0.7830277020723908,0.3900543475888175
6000000000.0,0.5451086131160781,-5.27033911493195,0.9656217435439037,0.7297773977509885,-2.7361918296776433,-0.4254331155770827,0.7297773977509885,-2.7361918296776433,-0.4254331155770827,0.5466086592637902,-5.246469851670917,1.0494411629624616
6250000000.0,0.6663071483011169,-3.526510549853323,-0.41489031452428504,0.6453658141145145,-3.8038808695825983,-1.9043571676318258,0.6453658141145145,-3.8038808695825983,-1.9043571676318258,0.6841189552953497,-3.2973675230065895,-0.11897770658277983
6500000000.0,0.40512024259842433,-7.8483211185965285,1.0987477789696118,0.8191187097922707,-1.7330630814759553,-3.968521099775049,0.8191187097922707,-1.7330630814759553,-3.968521099775049,0.4340952521524573,-7.248299283238206,0.24277580386156164
6750000000.0,0.26517207107168794,-11.52944438801385,-0.36971260551235957,0.8768459943925181,-1.141533552491358,-5.645933691104778,0.8768459943925181,-1.141533552491358,-5.645933691104778,0.24651511057568848,-12.163129094590385,-1.1997142492331485
7000000000.0,0.45473684936471126,-6.844797030816615,0.5081949618505461,0.808559140332184,-1.8457641810615537,-7.506523880585242,0.808559140332184,-1.8457641810615537,-7.506523880585242,0.4416997678554927,-7.097456579881079,0.13420371407921325
7125000000.0,0.47241283668646655,-6.513566199732887,-0.06238124051865415,0.7981361120241827,-1.9584607779910577,-8.301797558307928,0.7981361120241827,-1.9584607779910577,-8.301797558307928,0.4486636185717204,-6.961582905934778,-0.7772265559590553
7250000000.0,0.3391401637072352,-9.392415490576797,-0.4757911526855263,0.8509881465830447,-1.4015297832536622,-9.163466633225957,0.8509881465830447,-1.4015297832536622,-9.163466633225957,0.2879115599708608,-10.814817947261805,-1.9990380553306033
7500000000.0,0.34133623173707167,-9.336352206397464,-0.5381223334584608,0.8387075026138582,-1.5277894401343102,-11.051283350880654,0.8387075026138582,-1.5277894401343102,-11.051283350880654,0.31175530359746195,-10.12372299092458,0.3481203903858484
8000000000.0,0.4071147306747537,-7.805663664275482,-1.5596434369425904,0.755528661460762,-2.4349811154958854,-9.07216973675026,0.755528661460762,-2.4349811154958854,-9.07216973675026,0.3847250891219713,-8.296989821462496,-1.0782958248020178
8125000000.0,0.4039472682308641,-7.873506490414709,-2.4633645110870397,0.6761855063693555,-3.398682846242933,-10.365605813675135,0.6761855063693555,-3.398682846242933,-10.365605813675135,0.42235946334711916,-7.486355412205579,-2.2265676970266908
8250000000.0,0.5248542336451718,-5.599225905731214,-1.8356400439139,0.43291526364887856,-7.2719420327957875,-12.194225594832844,0.43291526364887856,-7.2719420327957875,-12.194225594832844,0.5533360242840161,-5.140221092790066,-1.9827053923125126
8375000000.0,0.8545439539206315,-1.36531188404324,-2.6779786063668265,0.13516824889635662,-17.382506249032737,-13.388683984503402,0.13516824889635662,-17.382506249032737,-13.388683984503402,0.8571840053377553,-1.3385188258277123,-2.782804070355596
8437500000.0,0.8939052158582022,-0.9741705728976844,-2.9567485277311634,0.08481886925181811,-21.430150431199646,-13.760851922258356,0.08481886925181811,-21.430150431199646,-13.760851922258356,0.8953746275269772,-0.9599043299683954,-3.059064861127912
8500000000.0,0.9151404230506573,-0.7702452164437721,-3.1821285034795346,0.05773577957160367,-24.771099315844474,-14.075532014830554,0.05773577957160367,-24.771099315844474,-14.075532014830554,0.9163794722597453,-0.7584929593640822,-3.2827318272247528
9000000000.0,0.9628351446604938,-0.3289613165576028,-4.236669303514145,0.011212652135427196,-39.00583302633131,-15.803806652361164,0.011212652135427196,-39.00583302633131,-15.803806652361164,0.9639745331805782,-0.3186887876122882,-4.316400248113078
9500000000.0,0.9733053779260024,-0.23501753912688655,-4.8093075762520865,0.004679231787385712,-46.59650882691367,-16.996773831113902,0.004679231787385712,-46.59650882691367,-16.996773831113902,0.974020778761245,-0.22863556458182996,-4.873087793455029
10000000000.0,0.977088777591529,-0.2013194960135532,-5.215100916730798,0.0024570573292288524,-52.19169420473068,-18.212302726704106,0.0024570573292288524,-52.19169420473068,-18.212302726704106,0.9775671894594434,-0.19706766567689127,-5.269851940999811
