frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9933269814039666,-0.058155355486134,1.2701427229244604,0.006298992723429993,-44.01457786690008,-0.3352619606326441,0.006298992723429993,-44.01457786690008,-0.3352619606326441,0.9934912462229063,-0.05671910321892756,1.2672194609361547
4500000000.0,0.988499674486861,-0.10046938727088832,0.9386890541502207,0.014164411524552402,-36.97602927984024,-0.6820130852039815,0.014164411524552402,-36.97602927984024,-0.6820130852039815,0.9889664563180306,-0.0963687703422473,0.9436413585061576
5000000000.0,0.9741463859301098,-0.22751552721769142,0.4876990538543739,0.05289661554931262,-25.531442285299683,-1.1649854221405418,0.05289661554931262,-25.531442285299683,-1.1649854221405418,0.9759974948015615,-0.21102594165088184,0.514602430467231
5500000000.0,0.328936416858688,-9.657760854137607,0.6535702869385184,0.6983072185895217,-3.119069370338406,-3.5326563007682594,0.6983072185895217,-3.119069370338406,-3.5326563007682594,0.3950073494526798,-8.067896477493564,0.4775430523265514
5750000000.0,0.7551097965265411,-2.4397979062586255,-0.1639572459636863,0.5165905086651891,-5.737071547930811,-4.872423524420007,0.5165905086651891,-5.737071547930811,-4.872423524420007,0.7686074668050277,-2.2859080160524616,-0.09013927337495854
6000000000.0,0.32652967427689544,-9.721546897940184,-1.3835746901966206,0.7715423402022007,-2.2528047202960204,-6.037660610928986,0.7715423402022007,-2.2528047202960204,-6.037660610928986,0.40369682104311067,-7.878893409557948,-0.7538778576419263
6500000000.0,0.38516595253506625,-8.287042202480176,0.02921522316078074,0.796278410683441,-1.9787011808448598,-8.666670687315138,0.796278410683441,-1.9787011808448598,-8.666670687315138,0.2986117371106893,-10.49786252148798,-1.4214104270624721
6750000000.0,0.48473141633410644,-6.289976638827667,0.2520903427744724,0.7406338726315939,-2.6079285905171217,-9.996348444713723,0.7406338726315939,-2.6079285905171217,-9.996348444713723,0.41473865967539,-7.6445096037325015,1.478393403941033
6875000000.0,0.6177559957214183,-4.183660615932775,-0.05657871818172649,0.6491954899102573,-3.752490119303418,-10.5613495220106,0.6491954899102573,-3.752490119303418,-10.5613495220106,0.5929280202128093,-4.539960511189363,0.7910934444751545
7000000000.0,0.6717149680849173,-3.4562994808251197,-0.44234835055312727,0.5942667435643357,-4.5203714621628235,-11.044907480425874,0.5942667435643357,-4.5203714621628235,-11.044907480425874,0.6706307052383579,-3.470331320252491,0.30527083750862993
7500000000.0,0.23399843728678738,-12.615740858634002,-3.362720171256628,0.759132731527556,-2.3936456538893554,-13.24987205990869,0.759132731527556,-2.3936456538893554,-13.24987205990869,0.38611788732173075,-8.265601575124196,-0.9064116871825718
7625000000.0,0.26649061209804314,-11.486361712923017,-5.488138847678965,0.7438747137101253,-2.5700040774201254,-13.99388536107914,0.7438747137101253,-2.5700040774201254,-13.99388536107914,0.4011276291167786,-7.93434846768673,-0.7846283030018195
7750000000.0,0.45533361040620207,-6.833405822072372,-6.6324513833257415,0.665128072717645,-3.5418944347145356,-14.706639581369338,0.665128072717645,-3.5418944347145356,-14.706639581369338,0.5265234919209065,-5.571644942218899,-1.0090370655977303
8000000000.0,0.619862292305003,-4.154095640187607,-8.112366842480132,0.53882922560498,-5.370977131484693,-16.011825133558172,0.53882922560498,-5.370977131484693,-16.011825133558172,0.6395122030213667,-3.883023280023108,-1.960746264920102
8250000000.0,0.39652266979003203,-8.034639567519003,-9.059847508249305,0.5821669201122143,-4.699049513529311,-17.81301852117438,0.5821669201122143,-4.699049513529311,-17.81301852117438,0.2317612435105006,-12.699183751986842,-2.987053672128859
8375000000.0,0.6906202262298206,-3.215214131912909,-9.023070451878127,0.3048254558486653,-10.318975361282504,-19.23489121664418,0.3048254558486653,-10.318975361282504,-19.23489121664418,0.6254990765758818,-4.075466542378292,-2.310326593857919
8500000000.0,0.8456920541703278,-1.4557549974023773,-9.583232251328186,0.10720222304346548,-19.395924172435922,-20.035204051582376,0.10720222304346548,-19.395924172435922,-20.035204051582376,0.8229913401143053,-1.6920946921181077,-2.9964354501814876
9000000000.0,0.9350720054166011,-0.5830988980356393,-10.801803687857042,0.0046169032630505435,-46.712984500588526,-21.478022047841662,0.0046169032630505435,-46.712984500588526,-21.478022047841662,0.9278134895552496,-0.6507863505762717,-4.364162561538891
9500000000.0,0.95696518068502,-0.3820772760506148,-11.465015028550468,0.0008765596185355929,-61.144370807136866,-22.8816187341495,0.0008765596185355929,-61.144370807136866,-22.8816187341495,0.9537115754297915,-0.4116589239124022,-5.087779500086233
10000000000.0,0.9655232405903605,-0.3047453617999831,-11.924841718216133,0.000681424831458906,-63.33164089146826,-23.879307591954706,0.000681424831458906,-63.33164089146826,-23.879307591954706,0.9640625037593434,-0.3178961651424479,-5.574817700138659
