candidate,predicted_tx_score,parent,parent_tx_score,min_gap_mm,length_delta_mm,gap_delta_mm,width_delta_mm,params_json,layout_json
tx_band1_mcfil_r7_cnn034_rand28,25.262,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.053099,0.08529;0.093209;0.10017;0.093005;0.0907,-0.003222;-0.017827;-0.024099;-0.007777;-0.011495,-0.007409;-7.2e-05;-0.001045;-0.00337;-0.009329,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn034_rand28_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn034_rand28_layout.json
tx_band1_mcfil_r7_cnn018_rand12,24.188,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.057257,0.091527;0.095329;0.098494;0.095076;0.087443,-0.007337;-0.014318;-0.028314;-0.012934;-0.006155,-0.000992;0.000646;0.00155;-0.004196;-0.008063,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn018_rand12_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn018_rand12_layout.json
tx_band1_mcfil_r7_cnn022_rand16,17.359,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.061512,0.091895;0.098254;0.107035;0.093461;0.084052,-0.003082;-0.018749;-0.025846;-0.010336;-3.6e-05,-0.000814;0.001407;0.001283;-0.00261;-0.00019,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn022_rand16_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn022_rand16_layout.json
tx_band1_mcfil_r7_cnn017_rand11,15.784,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.0578,0.092893;0.097456;0.104401;0.095415;0.095117,-0.005788;-0.016374;-0.021825;-0.018997;-0.006794,-0.009578;0.000543;0.002828;0.001044;-0.003499,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn017_rand11_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn017_rand11_layout.json
tx_band1_mcfil_r7_cnn039_rand33,15.683,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.05626,0.098139;0.096513;0.110987;0.098157;0.086974,-0.006974;-0.017609;-0.031862;-0.020345;-0.008334,-0.003184;0.001469;0.002862;-0.000562;-0.000469,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn039_rand33_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn039_rand33_layout.json
tx_band1_mcfil_r7_cnn003_outer_gap_stronger_width_m006,13.847,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.054594,0.097;0.097;0.097;0.097;0.097,-0.01;-0.012;-0.02;-0.012;-0.01,-0.006;-0.003;0;-0.003;-0.006,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn003_outer_gap_stronger_width_m006_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round7\tx_band1_mcfil_r7_cnn003_outer_gap_stronger_width_m006_layout.json
