freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.270699,-47.054,-47.054,-0.263713
14.05,-0.275834,-46.8749,-46.8749,-0.268785
14.1,-0.281131,-46.691,-46.691,-0.274017
14.15,-0.286598,-46.5023,-46.5023,-0.279418
14.2,-0.292243,-46.3083,-46.3083,-0.284995
14.25,-0.298074,-46.109,-46.109,-0.290757
14.3,-0.304102,-45.9039,-45.9039,-0.296714
14.35,-0.310335,-45.6928,-45.6928,-0.302875
14.4,-0.316785,-45.4755,-45.4755,-0.309252
14.45,-0.323462,-45.2516,-45.2516,-0.315855
14.5,-0.330378,-45.0207,-45.0207,-0.322696
14.55,-0.337548,-44.7827,-44.7827,-0.329789
14.6,-0.344983,-44.537,-44.537,-0.337147
14.65,-0.3527,-44.2834,-44.2834,-0.344786
14.7,-0.360714,-44.0214,-44.0214,-0.352721
14.75,-0.369042,-43.7508,-43.7508,-0.360971
14.8,-0.377702,-43.4711,-43.4711,-0.369553
14.85,-0.386716,-43.182,-43.182,-0.378488
14.9,-0.396103,-42.883,-42.883,-0.387798
14.95,-0.405887,-42.5738,-42.5738,-0.397506
15,-0.416093,-42.2539,-42.2539,-0.407639
15.05,-0.426749,-41.9229,-41.9229,-0.418224
15.1,-0.437884,-41.5805,-41.5805,-0.429291
15.15,-0.44953,-41.2262,-41.2262,-0.440873
15.2,-0.461723,-40.8596,-40.8596,-0.453007
15.25,-0.4745,-40.4804,-40.4804,-0.465732
15.3,-0.487904,-40.0881,-40.0881,-0.479092
15.35,-0.50198,-39.6824,-39.6824,-0.493133
15.4,-0.516778,-39.2628,-39.2628,-0.507909
15.45,-0.532355,-38.8291,-38.8291,-0.523476
15.5,-0.548772,-38.3808,-38.3808,-0.539898
15.55,-0.566095,-37.9176,-37.9176,-0.557247
15.6,-0.5844,-37.4392,-37.4392,-0.5756
15.65,-0.603771,-36.9453,-36.9453,-0.595044
15.7,-0.624298,-36.4355,-36.4355,-0.615677
15.75,-0.646087,-35.9096,-35.9096,-0.637608
15.8,-0.669253,-35.3672,-35.3672,-0.660959
15.85,-0.693925,-34.8081,-34.8081,-0.685869
15.9,-0.72025,-34.2319,-34.2319,-0.712491
15.95,-0.748395,-33.6385,-33.6385,-0.741004
16,-0.778546,-33.0274,-33.0274,-0.771607
16.05,-0.810918,-32.3985,-32.3985,-0.80453
16.1,-0.845754,-31.7514,-31.7514,-0.840035
16.15,-0.883336,-31.0859,-31.0859,-0.878424
16.2,-0.923985,-30.4016,-30.4016,-0.920046
16.25,-0.968075,-29.6984,-29.6984,-0.965306
16.3,-1.01604,-28.9758,-28.9758,-1.01467
16.35,-1.06838,-28.2335,-28.2335,-1.06871
16.4,-1.1257,-27.4714,-27.4714,-1.12805
16.45,-1.18868,-26.6891,-26.6891,-1.19347
16.5,-1.25816,-25.8864,-25.8864,-1.26589
16.55,-1.33512,-25.063,-25.063,-1.34639
16.6,-1.42073,-24.2188,-24.2188,-1.43628
16.65,-1.5164,-23.3537,-23.3537,-1.53715
16.7,-1.62382,-22.4679,-22.4679,-1.6509
16.75,-1.74504,-21.5615,-21.5615,-1.77986
16.8,-1.88255,-20.6351,-20.6351,-1.92687
16.85,-2.03938,-19.6896,-19.6896,-2.09543
16.9,-2.21918,-18.7263,-18.7263,-2.28981
16.95,-2.4264,-17.7472,-17.7472,-2.51525
17,-2.66638,-16.755,-16.755,-2.77817
17.05,-2.94548,-15.7536,-15.7536,-3.08635
17.1,-3.27111,-14.7479,-14.7479,-3.44911
17.15,-3.65158,-13.7444,-13.7444,-3.87738
17.2,-4.09573,-12.7514,-12.7514,-4.38346
17.25,-4.61196,-11.7785,-11.7785,-4.98028
17.3,-5.20645,-10.8369,-10.8369,-5.67979
17.35,-5.88026,-9.93863,-9.93863,-6.48956
17.4,-6.6251,-9.09565,-9.09565,-7.4071
17.45,-7.4184,-8.31839,-8.31839,-8.41071
17.5,-8.21994,-7.61445,-7.61445,-9.44813
17.55,-8.97434,-6.9875,-6.9875,-10.4293
17.6,-9.62441,-6.4368,-6.4368,-11.2394
17.65,-10.1333,-5.95753,-5.95753,-11.7862
17.7,-10.5023,-5.54185,-5.54185,-12.0569
17.75,-10.7698,-5.18031,-5.18031,-12.1247
17.8,-10.9932,-4.86318,-4.86318,-12.0996
17.85,-11.2295,-4.58155,-4.58155,-12.0778
17.9,-11.5256,-4.32791,-4.32791,-12.1234
17.95,-11.9169,-4.09647,-4.09647,-12.2732
18,-12.4309,-3.88308,-3.88308,-12.5467
18.05,-13.0914,-3.68506,-3.68506,-12.9534
18.1,-13.923,-3.50089,-3.50089,-13.4977
18.15,-14.9546,-3.32987,-3.32987,-14.1793
18.2,-16.2236,-3.17184,-3.17184,-14.9918
18.25,-17.7798,-3.02688,-3.02688,-15.9165
18.3,-19.6864,-2.89511,-2.89511,-16.9119
18.35,-21.9956,-2.77652,-2.77652,-17.8967
18.4,-24.5914,-2.67088,-2.67088,-18.7377
18.45,-26.5837,-2.57771,-2.57771,-19.271
18.5,-26.2993,-2.49628,-2.49628,-19.3831
18.55,-24.315,-2.42566,-2.42566,-19.095
18.6,-22.2152,-2.36482,-2.36482,-18.54
18.65,-20.4715,-2.31272,-2.31272,-17.8682
18.7,-19.0875,-2.26835,-2.26835,-17.1849
18.75,-17.9909,-2.23088,-2.23088,-16.5452
18.8,-17.1139,-2.19969,-2.19969,-15.9697
18.85,-16.4016,-2.17441,-2.17441,-15.4595
18.9,-15.8091,-2.155,-2.155,-15.0051
18.95,-15.2983,-2.14176,-2.14176,-14.592
19,-14.8352,-2.13538,-2.13538,-14.2024
19.05,-14.3885,-2.13697,-2.13697,-13.8175
19.1,-13.9298,-2.14815,-2.14815,-13.4177
19.15,-13.4341,-2.17109,-2.17109,-12.9846
19.2,-12.8813,-2.20867,-2.20867,-12.5012
19.25,-12.2582,-2.26458,-2.26458,-11.9547
19.3,-11.5601,-2.34347,-2.34347,-11.3371
19.35,-10.7909,-2.45104,-2.45104,-10.6477
19.4,-9.96282,-2.59409,-2.59409,-9.89311
19.45,-9.09459,-2.78038,-2.78038,-9.08769
19.5,-8.20894,-3.0183,-3.0183,-8.25157
19.55,-7.32999,-3.31625,-3.31625,-7.40841
19.6,-6.48079,-3.68173,-3.68173,-6.58235
19.65,-5.68118,-4.1204,-4.1204,-5.79535
19.7,-4.9463,-4.63503,-4.63503,-5.06496
19.75,-4.28578,-5.22499,-5.22499,-4.40309
