freq_ghz,board_1_s21_db,board_2_s21_db,board_3_s21_db,board_4_s21_db,mean_s21_db,std_s21_db,min_s21_db,max_s21_db
6.880000,-8.041626,-8.465094,-8.715312,-8.411384,-8.408354,0.278053,-8.715312,-8.041626
6.890000,-8.035738,-8.461271,-8.714090,-8.406567,-8.404416,0.279916,-8.714090,-8.035738
6.900000,-8.029930,-8.457502,-8.712884,-8.401816,-8.400533,0.281755,-8.712884,-8.029930
6.910000,-8.024203,-8.453786,-8.711696,-8.397132,-8.396704,0.283570,-8.711696,-8.024203
6.920000,-8.018557,-8.450122,-8.710525,-8.392514,-8.392930,0.285361,-8.710525,-8.018557
6.930000,-8.012991,-8.446511,-8.709372,-8.387962,-8.389209,0.287129,-8.709372,-8.012991
6.940000,-8.007503,-8.442951,-8.708235,-8.383475,-8.385541,0.288874,-8.708235,-8.007503
6.950000,-8.002095,-8.439444,-8.707115,-8.379053,-8.381927,0.290595,-8.707115,-8.002095
6.960000,-7.996764,-8.435987,-8.706012,-8.374695,-8.378365,0.292293,-8.706012,-7.996764
6.970000,-7.991512,-8.432582,-8.704925,-8.370401,-8.374855,0.293967,-8.704925,-7.991512
6.980000,-7.986337,-8.429227,-8.703855,-8.366170,-8.371397,0.295619,-8.703855,-7.986337
6.990000,-7.981238,-8.425923,-8.702801,-8.362003,-8.367991,0.297247,-8.702801,-7.981238
7.000000,-7.976215,-8.422668,-8.701763,-8.357898,-8.364636,0.298852,-8.701763,-7.976215
7.010000,-7.971268,-8.419463,-8.700742,-8.353856,-8.361332,0.300435,-8.700742,-7.971268
7.020000,-7.966397,-8.416308,-8.699736,-8.349875,-8.358079,0.301995,-8.699736,-7.966397
7.030000,-7.961600,-8.413201,-8.698747,-8.345955,-8.354876,0.303532,-8.698747,-7.961600
7.040000,-7.956877,-8.410142,-8.697773,-8.342097,-8.351722,0.305046,-8.697773,-7.956877
7.050000,-7.952227,-8.407132,-8.696815,-8.338299,-8.348618,0.306538,-8.696815,-7.952227
7.060000,-7.947651,-8.404170,-8.695872,-8.334561,-8.345563,0.308008,-8.695872,-7.947651
7.070000,-7.943147,-8.401255,-8.694945,-8.330882,-8.342557,0.309455,-8.694945,-7.943147
7.080000,-7.938715,-8.398388,-8.694033,-8.327263,-8.339600,0.310880,-8.694033,-7.938715
7.090000,-7.934355,-8.395567,-8.693136,-8.323703,-8.336690,0.312283,-8.693136,-7.934355
7.100000,-7.930066,-8.392793,-8.692254,-8.320201,-8.333829,0.313664,-8.692254,-7.930066
7.110000,-7.925847,-8.390065,-8.691388,-8.316757,-8.331014,0.315024,-8.691388,-7.925847
7.120000,-7.921699,-8.387383,-8.690536,-8.313370,-8.328247,0.316361,-8.690536,-7.921699
7.130000,-7.917619,-8.384746,-8.689699,-8.310040,-8.325526,0.317677,-8.689699,-7.917619
7.140000,-7.913609,-8.382154,-8.688876,-8.306768,-8.322852,0.318972,-8.688876,-7.913609
7.150000,-7.909667,-8.379607,-8.688068,-8.303551,-8.320223,0.320245,-8.688068,-7.909667
7.160000,-7.905793,-8.377104,-8.687275,-8.300390,-8.317640,0.321497,-8.687275,-7.905793
7.170000,-7.901987,-8.374646,-8.686495,-8.297284,-8.315103,0.322728,-8.686495,-7.901987
7.180000,-7.898247,-8.372231,-8.685730,-8.294233,-8.312610,0.323938,-8.685730,-7.898247
7.190000,-7.894574,-8.369859,-8.684979,-8.291237,-8.310162,0.325127,-8.684979,-7.894574
7.200000,-7.890966,-8.367531,-8.684242,-8.288295,-8.307758,0.326296,-8.684242,-7.890966
7.210000,-7.887424,-8.365245,-8.683518,-8.285406,-8.305398,0.327444,-8.683518,-7.887424
7.220000,-7.883947,-8.363001,-8.682808,-8.282571,-8.303082,0.328571,-8.682808,-7.883947
7.230000,-7.880533,-8.360800,-8.682112,-8.279788,-8.300808,0.329679,-8.682112,-7.880533
7.240000,-7.877184,-8.358640,-8.681429,-8.277058,-8.298578,0.330766,-8.681429,-7.877184
7.250000,-7.873898,-8.356521,-8.680760,-8.274379,-8.296390,0.331833,-8.680760,-7.873898
7.260000,-7.870675,-8.354444,-8.680103,-8.271752,-8.294244,0.332880,-8.680103,-7.870675
7.270000,-7.867514,-8.352407,-8.679460,-8.269176,-8.292139,0.333908,-8.679460,-7.867514
7.280000,-7.864415,-8.350410,-8.678830,-8.266651,-8.290076,0.334916,-8.678830,-7.864415
7.290000,-7.861377,-8.348453,-8.678213,-8.264176,-8.288054,0.335904,-8.678213,-7.861377
7.300000,-7.858399,-8.346536,-8.677608,-8.261750,-8.286073,0.336874,-8.677608,-7.858399
7.310000,-7.855482,-8.344657,-8.677016,-8.259374,-8.284132,0.337824,-8.677016,-7.855482
7.320000,-7.852624,-8.342818,-8.676436,-8.257047,-8.282231,0.338755,-8.676436,-7.852624
7.330000,-7.849826,-8.341017,-8.675869,-8.254768,-8.280370,0.339667,-8.675869,-7.849826
7.340000,-7.847086,-8.339255,-8.675315,-8.252538,-8.278548,0.340561,-8.675315,-7.847086
7.350000,-7.844404,-8.337530,-8.674772,-8.250354,-8.276765,0.341436,-8.674772,-7.844404
7.360000,-7.841780,-8.335843,-8.674241,-8.248219,-8.275021,0.342292,-8.674241,-7.841780
7.370000,-7.839213,-8.334193,-8.673723,-8.246129,-8.273314,0.343131,-8.673723,-7.839213
7.380000,-7.836703,-8.332579,-8.673216,-8.244087,-8.271646,0.343951,-8.673216,-7.836703
7.390000,-7.834248,-8.331002,-8.672721,-8.242090,-8.270015,0.344753,-8.672721,-7.834248
7.400000,-7.831849,-8.329462,-8.672237,-8.240138,-8.268421,0.345537,-8.672237,-7.831849
7.410000,-7.829505,-8.327957,-8.671765,-8.238232,-8.266865,0.346304,-8.671765,-7.829505
7.420000,-7.827216,-8.326487,-8.671304,-8.236370,-8.265344,0.347053,-8.671304,-7.827216
7.430000,-7.824980,-8.325052,-8.670854,-8.234552,-8.263860,0.347785,-8.670854,-7.824980
7.440000,-7.822798,-8.323652,-8.670416,-8.232778,-8.262411,0.348500,-8.670416,-7.822798
7.450000,-7.820669,-8.322287,-8.669989,-8.231048,-8.260998,0.349197,-8.669989,-7.820669
7.460000,-7.818593,-8.320956,-8.669572,-8.229360,-8.259620,0.349878,-8.669572,-7.818593
7.470000,-7.816568,-8.319658,-8.669166,-8.227715,-8.258277,0.350542,-8.669166,-7.816568
7.480000,-7.814595,-8.318393,-8.668771,-8.226111,-8.256968,0.351189,-8.668771,-7.814595
7.490000,-7.812672,-8.317162,-8.668386,-8.224550,-8.255693,0.351820,-8.668386,-7.812672
7.500000,-7.810800,-8.315963,-8.668012,-8.223029,-8.254451,0.352434,-8.668012,-7.810800
7.510000,-7.808978,-8.314797,-8.667648,-8.221549,-8.253243,0.353033,-8.667648,-7.808978
7.520000,-7.807205,-8.313662,-8.667294,-8.220110,-8.252068,0.353615,-8.667294,-7.807205
7.530000,-7.805481,-8.312559,-8.666951,-8.218710,-8.250925,0.354182,-8.666951,-7.805481
7.540000,-7.803805,-8.311487,-8.666617,-8.217350,-8.249815,0.354733,-8.666617,-7.803805
7.550000,-7.802177,-8.310447,-8.666293,-8.216029,-8.248736,0.355268,-8.666293,-7.802177
7.560000,-7.800596,-8.309436,-8.665979,-8.214746,-8.247690,0.355788,-8.665979,-7.800596
7.570000,-7.799062,-8.308456,-8.665674,-8.213502,-8.246674,0.356293,-8.665674,-7.799062
7.580000,-7.797575,-8.307506,-8.665379,-8.212295,-8.245689,0.356783,-8.665379,-7.797575
7.590000,-7.796132,-8.306586,-8.665093,-8.211126,-8.244734,0.357258,-8.665093,-7.796132
7.600000,-7.794736,-8.305694,-8.664817,-8.209994,-8.243810,0.357719,-8.664817,-7.794736
7.610000,-7.793383,-8.304832,-8.664550,-8.208898,-8.242916,0.358164,-8.664550,-7.793383
7.620000,-7.792075,-8.303998,-8.664291,-8.207838,-8.242050,0.358596,-8.664291,-7.792075
7.630000,-7.790811,-8.303192,-8.664042,-8.206813,-8.241214,0.359013,-8.664042,-7.790811
7.640000,-7.789590,-8.302414,-8.663801,-8.205824,-8.240407,0.359416,-8.663801,-7.789590
7.650000,-7.788411,-8.301663,-8.663569,-8.204869,-8.239628,0.359805,-8.663569,-7.788411
7.660000,-7.787275,-8.300939,-8.663345,-8.203949,-8.238877,0.360180,-8.663345,-7.787275
7.670000,-7.786180,-8.300243,-8.663130,-8.203063,-8.238154,0.360542,-8.663130,-7.786180
7.680000,-7.785126,-8.299572,-8.662924,-8.202210,-8.237458,0.360891,-8.662924,-7.785126
7.690000,-7.784113,-8.298928,-8.662725,-8.201390,-8.236789,0.361226,-8.662725,-7.784113
7.700000,-7.783140,-8.298309,-8.662535,-8.200602,-8.236146,0.361548,-8.662535,-7.783140
7.710000,-7.782206,-8.297716,-8.662352,-8.199847,-8.235530,0.361856,-8.662352,-7.782206
7.720000,-7.781311,-8.297148,-8.662178,-8.199124,-8.234940,0.362153,-8.662178,-7.781311
7.730000,-7.780455,-8.296605,-8.662011,-8.198431,-8.234375,0.362436,-8.662011,-7.780455
7.740000,-7.779637,-8.296085,-8.661851,-8.197770,-8.233836,0.362707,-8.661851,-7.779637
7.750000,-7.778856,-8.295590,-8.661699,-8.197139,-8.233321,0.362966,-8.661699,-7.778856
7.760000,-7.778112,-8.295119,-8.661555,-8.196538,-8.232831,0.363213,-8.661555,-7.778112
7.770000,-7.777405,-8.294671,-8.661418,-8.195967,-8.232365,0.363447,-8.661418,-7.777405
7.780000,-7.776733,-8.294245,-8.661288,-8.195425,-8.231923,0.363670,-8.661288,-7.776733
7.790000,-7.776097,-8.293843,-8.661165,-8.194911,-8.231504,0.363882,-8.661165,-7.776097
7.800000,-7.775496,-8.293463,-8.661049,-8.194426,-8.231108,0.364081,-8.661049,-7.775496
7.810000,-7.774929,-8.293104,-8.660940,-8.193969,-8.230735,0.364270,-8.660940,-7.774929
7.820000,-7.774396,-8.292767,-8.660837,-8.193539,-8.230385,0.364447,-8.660837,-7.774396
7.830000,-7.773896,-8.292452,-8.660741,-8.193136,-8.230056,0.364613,-8.660741,-7.773896
7.840000,-7.773429,-8.292157,-8.660651,-8.192759,-8.229749,0.364768,-8.660651,-7.773429
7.850000,-7.772995,-8.291883,-8.660568,-8.192409,-8.229464,0.364913,-8.660568,-7.772995
7.860000,-7.772592,-8.291629,-8.660491,-8.192085,-8.229199,0.365047,-8.660491,-7.772592
7.870000,-7.772220,-8.291395,-8.660420,-8.191785,-8.228955,0.365171,-8.660420,-7.772220
7.880000,-7.771879,-8.291180,-8.660355,-8.191511,-8.228731,0.365284,-8.660355,-7.771879
7.890000,-7.771569,-8.290985,-8.660296,-8.191261,-8.228528,0.365388,-8.660296,-7.771569
7.900000,-7.771288,-8.290808,-8.660243,-8.191035,-8.228343,0.365482,-8.660243,-7.771288
7.910000,-7.771036,-8.290650,-8.660195,-8.190832,-8.228178,0.365566,-8.660195,-7.771036
7.920000,-7.770813,-8.290510,-8.660153,-8.190653,-8.228032,0.365640,-8.660153,-7.770813
7.930000,-7.770618,-8.290387,-8.660116,-8.190497,-8.227905,0.365705,-8.660116,-7.770618
7.940000,-7.770451,-8.290283,-8.660085,-8.190362,-8.227795,0.365761,-8.660085,-7.770451
7.950000,-7.770311,-8.290195,-8.660058,-8.190250,-8.227704,0.365808,-8.660058,-7.770311
7.960000,-7.770198,-8.290124,-8.660037,-8.190159,-8.227629,0.365846,-8.660037,-7.770198
7.970000,-7.770110,-8.290069,-8.660021,-8.190089,-8.227572,0.365875,-8.660021,-7.770110
7.980000,-7.770049,-8.290030,-8.660009,-8.190039,-8.227532,0.365896,-8.660009,-7.770049
7.990000,-7.770012,-8.290008,-8.660002,-8.190010,-8.227508,0.365908,-8.660002,-7.770012
8.000000,-7.770000,-8.290000,-8.660000,-8.190000,-8.227500,0.365912,-8.660000,-7.770000
8.010000,-7.776142,-8.296121,-8.666078,-8.196147,-8.233622,0.365885,-8.666078,-7.776142
8.020000,-7.794474,-8.314387,-8.684216,-8.214493,-8.251893,0.365805,-8.684216,-7.794474
8.030000,-7.824854,-8.344659,-8.714274,-8.244895,-8.282170,0.365671,-8.714274,-7.824854
8.040000,-7.867139,-8.386792,-8.756110,-8.287211,-8.324313,0.365485,-8.756110,-7.867139
8.050000,-7.921186,-8.440646,-8.809584,-8.341298,-8.378179,0.365247,-8.809584,-7.921186
8.060000,-7.986854,-8.506079,-8.874553,-8.407014,-8.443625,0.364956,-8.874553,-7.986854
