freq_ghz,measured_mean_s21_db,sim_s21_db,error_db
6.440000,-8.641182,-7.225417,1.415765
6.450000,-8.634486,-7.239592,1.394894
6.460000,-8.627861,-7.231485,1.396375
6.470000,-8.621305,-7.223378,1.397927
6.480000,-8.614818,-7.215270,1.399548
6.490000,-8.608401,-7.207163,1.401238
6.500000,-8.602053,-7.199056,1.402997
6.510000,-8.595773,-7.170558,1.425216
6.520000,-8.589562,-7.142059,1.447502
6.530000,-8.583418,-7.113561,1.469857
6.540000,-8.577341,-7.085063,1.492279
6.550000,-8.571332,-7.056564,1.514768
6.560000,-8.565389,-7.012274,1.553116
6.570000,-8.559513,-6.967983,1.591530
6.580000,-8.553703,-6.923693,1.630010
6.590000,-8.547958,-6.879402,1.668556
6.600000,-8.542279,-6.835112,1.707167
6.610000,-8.536665,-6.782499,1.754166
6.620000,-8.531115,-6.729887,1.801229
6.630000,-8.525630,-6.677274,1.848356
6.640000,-8.520209,-6.624662,1.895547
6.650000,-8.514851,-6.572049,1.942802
6.660000,-8.509556,-6.521313,1.988243
6.670000,-8.504324,-6.470577,2.033747
6.680000,-8.499155,-6.419841,2.079314
6.690000,-8.494048,-6.369105,2.124943
6.700000,-8.489003,-6.318369,2.170633
6.710000,-8.484019,-6.281191,2.202828
6.720000,-8.479096,-6.244012,2.235084
6.730000,-8.474234,-6.206834,2.267400
6.740000,-8.469432,-6.169655,2.299777
6.750000,-8.464691,-6.132476,2.332214
6.760000,-8.460009,-6.119122,2.340887
6.770000,-8.455386,-6.105768,2.349618
6.780000,-8.450823,-6.092414,2.358409
6.790000,-8.446318,-6.079059,2.367258
6.800000,-8.441871,-6.065705,2.376166
6.810000,-8.437483,-6.081292,2.356191
6.820000,-8.433151,-6.096879,2.336273
6.830000,-8.428878,-6.112466,2.316412
6.840000,-8.424661,-6.128052,2.296608
6.850000,-8.420500,-6.143639,2.276861
6.860000,-8.416396,-6.185960,2.230436
6.870000,-8.412347,-6.228281,2.184066
6.880000,-8.408354,-6.270602,2.137752
6.890000,-8.404416,-6.312923,2.091493
6.900000,-8.400533,-6.355244,2.045289
6.910000,-8.396704,-6.415959,1.980745
6.920000,-8.392930,-6.476674,1.916255
6.930000,-8.389209,-6.537390,1.851819
6.940000,-8.385541,-6.598105,1.787436
6.950000,-8.381927,-6.658820,1.723106
6.960000,-8.378365,-6.726993,1.651372
6.970000,-8.374855,-6.795165,1.579690
6.980000,-8.371397,-6.863338,1.508059
6.990000,-8.367991,-6.931511,1.436480
7.000000,-8.364636,-6.999683,1.364953
7.010000,-8.361332,-7.065107,1.296225
7.020000,-8.358079,-7.130532,1.227547
7.030000,-8.354876,-7.195956,1.158920
7.040000,-8.351722,-7.261380,1.090342
7.050000,-8.348618,-7.326804,1.021814
7.060000,-8.345563,-7.381712,0.963851
7.070000,-8.342557,-7.436620,0.905938
7.080000,-8.339600,-7.491527,0.848073
7.090000,-8.336690,-7.546435,0.790256
7.100000,-8.333829,-7.601342,0.732486
7.110000,-8.331014,-7.640701,0.690314
7.120000,-8.328247,-7.680059,0.648188
7.130000,-8.325526,-7.719417,0.606109
7.140000,-8.322852,-7.758776,0.564076
7.150000,-8.320223,-7.798134,0.522089
7.160000,-8.317640,-7.819301,0.498339
7.170000,-8.315103,-7.840468,0.474635
7.180000,-8.312610,-7.861635,0.450976
7.190000,-8.310162,-7.882801,0.427361
7.200000,-8.307758,-7.903968,0.403790
7.210000,-8.305398,-7.906261,0.399137
7.220000,-8.303082,-7.908554,0.394528
7.230000,-8.300808,-7.910847,0.389961
7.240000,-8.298578,-7.913140,0.385438
7.250000,-8.296390,-7.915433,0.380956
7.260000,-8.294244,-7.899860,0.394383
7.270000,-8.292139,-7.884288,0.407852
7.280000,-8.290076,-7.868715,0.421362
7.290000,-8.288054,-7.853142,0.434913
7.300000,-8.286073,-7.837569,0.448504
7.310000,-8.284132,-7.806758,0.477374
7.320000,-8.282231,-7.775948,0.506284
7.330000,-8.280370,-7.745137,0.535233
7.340000,-8.278548,-7.714327,0.564221
7.350000,-8.276765,-7.683516,0.593249
7.360000,-8.275021,-7.641774,0.633247
7.370000,-8.273314,-7.600031,0.673284
7.380000,-8.271646,-7.558288,0.713358
7.390000,-8.270015,-7.516546,0.753470
7.400000,-8.268421,-7.474803,0.793619
7.410000,-8.266865,-7.428118,0.838747
7.420000,-8.265344,-7.381433,0.883911
7.430000,-8.263860,-7.334748,0.929112
7.440000,-8.262411,-7.288063,0.974349
7.450000,-8.260998,-7.241378,1.019620
7.460000,-8.259620,-7.197096,1.062524
7.470000,-8.258277,-7.152815,1.105462
7.480000,-8.256968,-7.108533,1.148434
7.490000,-8.255693,-7.064252,1.191440
7.500000,-8.254451,-7.019971,1.234480
7.510000,-8.253243,-6.985823,1.267420
7.520000,-8.252068,-6.951675,1.300393
7.530000,-8.250925,-6.917528,1.333398
7.540000,-8.249815,-6.883380,1.366435
7.550000,-8.248736,-6.849232,1.399504
7.560000,-8.247690,-6.831658,1.416032
7.570000,-8.246674,-6.814083,1.432590
7.580000,-8.245689,-6.796509,1.449180
7.590000,-8.244734,-6.778934,1.465800
7.600000,-8.243810,-6.761360,1.482450
7.610000,-8.242916,-6.763662,1.479254
7.620000,-8.242050,-6.765964,1.476087
7.630000,-8.241214,-6.768265,1.472949
7.640000,-8.240407,-6.770567,1.469840
7.650000,-8.239628,-6.772869,1.466759
7.660000,-8.238877,-6.794211,1.444666
7.670000,-8.238154,-6.815553,1.422601
7.680000,-8.237458,-6.836895,1.400563
7.690000,-8.236789,-6.858237,1.378552
7.700000,-8.236146,-6.879579,1.356568
7.710000,-8.235530,-6.915513,1.320017
7.720000,-8.234940,-6.951447,1.283493
7.730000,-8.234375,-6.987381,1.246994
7.740000,-8.233836,-7.023315,1.210521
7.750000,-8.233321,-7.059249,1.174072
7.760000,-8.232831,-7.103433,1.129398
7.770000,-8.232365,-7.147618,1.084747
7.780000,-8.231923,-7.191802,1.040121
7.790000,-8.231504,-7.235986,0.995518
7.800000,-8.231108,-7.280170,0.950938
7.810000,-8.230735,-7.326264,0.904471
7.820000,-8.230385,-7.372359,0.858026
7.830000,-8.230056,-7.418453,0.811603
7.840000,-8.229749,-7.464548,0.765202
7.850000,-8.229464,-7.510642,0.718822
7.860000,-8.229199,-7.553611,0.675588
7.870000,-8.228955,-7.596581,0.632374
7.880000,-8.228731,-7.639551,0.589181
7.890000,-8.228528,-7.682520,0.546008
7.900000,-8.228343,-7.725490,0.502854
7.910000,-8.228178,-7.762168,0.466011
7.920000,-8.228032,-7.798845,0.429187
7.930000,-8.227905,-7.835523,0.392381
7.940000,-8.227795,-7.872201,0.355594
7.950000,-8.227704,-7.908879,0.318824
7.960000,-8.227629,-7.938020,0.289609
7.970000,-8.227572,-7.967161,0.260411
7.980000,-8.227532,-7.996303,0.231229
7.990000,-8.227508,-8.025444,0.202064
8.000000,-8.227500,-8.054585,0.172915
8.010000,-8.233622,-8.076677,0.156945
8.020000,-8.251893,-8.098769,0.153124
8.030000,-8.282170,-8.120860,0.161310
8.040000,-8.324313,-8.142952,0.181361
8.050000,-8.378179,-8.165044,0.213135
8.060000,-8.443625,-8.182028,0.261597
8.070000,-8.520510,-8.199013,0.321497
8.080000,-8.608692,-8.215997,0.392695
8.090000,-8.708028,-8.232981,0.475047
8.100000,-8.818377,-8.249966,0.568411
8.110000,-8.939596,-8.264919,0.674677
8.120000,-9.071544,-8.279873,0.791671
8.130000,-9.214079,-8.294827,0.919252
8.140000,-9.367057,-8.309780,1.057277
8.150000,-9.530338,-8.324734,1.205605
8.160000,-9.703780,-8.341505,1.362275
8.170000,-9.887239,-8.358277,1.528963
8.180000,-10.080575,-8.375048,1.705527
8.190000,-10.283645,-8.391819,1.891825
8.200000,-10.496307,-8.408591,2.087716
8.210000,-10.718419,-8.431406,2.287013
8.220000,-10.949838,-8.454221,2.495617
8.230000,-11.190424,-8.477036,2.713388
8.240000,-11.440034,-8.499852,2.940182
8.250000,-11.698525,-8.522667,3.175859
8.260000,-11.965757,-8.555766,3.409990
8.270000,-12.241585,-8.588866,3.652720
8.280000,-12.525870,-8.621965,3.903905
