sparam,points,max_abs_delta_db,mean_abs_delta_db,rms_delta_db,passband_mean_abs_delta_db,delta_at_5g_db,delta_at_6g_db,delta_at_7g_db,delta_at_8g_db,delta_at_9g_db
s11,40,18.6701,3.71409,5.43099,5.78273,-1.05085,0.0232021,0.659565,-6.11045,-2.20391
s21,40,44.945,9.57464,15.4868,2.72371,5.43779,-2.29789,-2.69989,-5.04303,23.2427
s22,40,11.6609,3.48892,4.82768,5.0691,-1.06833,-0.215217,0.165069,-5.72416,-2.16052
