frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9285172975637789,-0.644200025527085,-0.38954426493076477,0.19536113611547365,-14.1832365553665,0.9658157389286778,0.19536113611547365,-14.1832365553665,0.9658157389286778,0.9083533563055259,-0.8349034956337849,-0.7302908398392427
4250000000.0,0.8697171783385527,-1.2124390362677986,-1.2445306665734082,0.30356949617375795,-10.35483740315819,-0.054160165594797804,0.30356949617375795,-10.35483740315819,-0.054160165594797804,0.8425251853681323,-1.4883421603984306,-1.9721168291294826
4500000000.0,0.8611815787924826,-1.2981053715446063,-2.40356692620595,0.2690727368697414,-11.402606076449274,-1.2564343322758817,0.2690727368697414,-11.402606076449274,-1.2564343322758817,0.8670605451871133,-1.239011510162014,-3.344992543503744
4750000000.0,0.9103891067917073,-0.815458948869252,-3.5921150936359494,0.0947229723970176,-20.47089364583348,-2.2324793991777687,0.0947229723970176,-20.47089364583348,-2.2324793991777687,0.9303072005258242,-0.6274723522988943,-4.337966398669858
5000000000.0,0.9280399593502254,-0.6486664723537321,-4.5133800939478474,0.09115987801108123,-20.803925293165783,-0.24005261506511563,0.09115987801108123,-20.803925293165783,-0.24005261506511563,0.93952659405704,-0.541818446686648,-5.051454263610025
5500000000.0,0.5205255343191947,-5.671159227317661,-6.19477284480492,0.6939575541821617,-3.173341845894591,-1.9953712899692482,0.6939575541821617,-3.173341845894591,-1.9953712899692482,0.48221747805334136,-6.335141051939565,-6.785004261665118
5625000000.0,0.21622237947611747,-13.301987153076453,-6.2500206040688795,0.8231837056745219,-1.6900646941077673,-2.7517484481555226,0.8231837056745219,-1.6900646941077673,-2.7517484481555226,0.09481323888567814,-20.462620347422668,-7.8688832954071835
5656250000.0,0.18435918625580042,-14.686704349569947,-6.0594286454368556,0.8309534107012554,-1.608466504884998,-2.9436450328271184,0.8309534107012554,-1.608466504884998,-2.9436450328271184,0.04673909552661153,-26.606393922573886,-9.189393071003627
5687500000.0,0.17920441343945195,-14.933025975085306,-5.881593192013452,0.8316242763233518,-1.6014568293465477,-3.1334616356566944,0.8316242763233518,-1.6014568293465477,-3.1334616356566944,0.09104350008475787,-20.815021091414756,-10.255174015124338
5750000000.0,0.18537503966332727,-14.638974860815416,-5.849480316893877,0.8213707175918747,-1.7092156818253412,-3.5133375389430093,0.8213707175918747,-1.7092156818253412,-3.5133375389430093,0.1795740546791319,-14.915128222377996,-10.73548934111938
5812500000.0,0.1293584833605608,-17.764101697531046,-6.273607418427206,0.802259204256773,-1.913705831548618,-3.92159833486885,0.802259204256773,-1.913705831548618,-3.92159833486885,0.21474436009136857,-13.361564667593193,-10.785325130032387
5843750000.0,0.07319451006027389,-22.710429837832685,-7.019623007764331,0.7842516585725016,-2.1108910832546854,-4.151694992450451,0.7842516585725016,-2.1108910832546854,-4.151694992450451,0.23483873732788058,-12.584605267727724,-10.668134551312912
5875000000.0,0.10255471241104612,-19.780887578249146,-8.64112196132095,0.7516569249952735,-2.479606740797821,-4.40644455046285,0.7516569249952735,-2.479606740797821,-4.40644455046285,0.2874147581880468,-10.829818709069007,-10.52369029483426
6000000000.0,0.6718085316887452,-3.455089702003327,-10.314542416232978,0.3975420134239557,-8.012339340955272,-5.510658322178467,0.3975420134239557,-8.012339340955272,-5.510658322178467,0.737367365183123,-2.6463217510483834,-10.83488551400771
6250000000.0,0.9342680294770764,-0.5905702479052094,-11.42854966735525,0.012485976458631977,-38.07154976466974,-5.469050361861967,0.012485976458631977,-38.07154976466974,-5.469050361861967,0.9454559533106438,-0.4871739832264407,-11.660526598076153
6500000000.0,0.9575736242898497,-0.376556495623783,-11.884322876146676,0.04933669787639766,-26.13659842730677,-4.148292811916906,0.04933669787639766,-26.13659842730677,-4.148292811916906,0.9621074489134649,-0.3355284581139071,-12.05014324807914
7000000000.0,0.9672728257967852,-0.2890202592602711,-12.44600259552403,0.05239738032072936,-25.613808512497936,-4.643799569933208,0.05239738032072936,-25.613808512497936,-4.643799569933208,0.9692772878028519,-0.27103927145745965,-12.557818059857857
8000000000.0,0.9700894427897584,-0.26376443386602505,-13.207132364174687,0.035925644237191516,-28.89190870262288,-5.371732788105804,0.035925644237191516,-28.89190870262288,-5.371732788105804,0.9711833917249859,-0.25397506211165344,-13.273591286659983
9000000000.0,0.9705976069612771,-0.2592156757205285,-13.787656915293127,0.02790802487049366,-31.085417973343795,-5.91987917970988,0.02790802487049366,-31.085417973343795,-5.91987917970988,0.9713745472399687,-0.25226560914872936,-13.833941220537106
10000000000.0,0.9711726480709324,-0.2540711497408083,-14.278558065524521,0.025677501234946908,-31.808944824427133,-6.389396067907865,0.025677501234946908,-31.808944824427133,-6.389396067907865,0.9718020643431987,-0.24844365450516304,-14.314545478965304
