frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9929718696861664,-0.06126109279365548,1.2795613345146475,0.006779836279929734,-43.37561586773715,-0.31868104682066223,0.006779836279929734,-43.37561586773715,-0.31868104682066223,0.9930536091373802,-0.06054611722029008,1.2930323476371735
4500000000.0,0.9877987485456488,-0.10663056774256796,0.935539348955596,0.015768785104277663,-36.04403530632358,-0.6817903939621163,0.015768785104277663,-36.04403530632358,-0.6817903939621163,0.9878758848029824,-0.10595232142880308,0.9504644919513806
5000000000.0,0.9713834585424023,-0.2521859259465609,0.45983271802599646,0.06306005930568609,-24.004912502995992,-1.2027944725247,0.06306005930568609,-24.004912502995992,-1.2027944725247,0.9718062036258395,-0.2484066580045915,0.47655581492450044
5250000000.0,0.9019159849079612,-0.8966783176810007,0.0019210199597473176,0.22028751577696948,-13.140202293280986,-1.7408898719611836,0.22028751577696948,-13.140202293280986,-1.7408898719611836,0.9074795047682339,-0.8432634925934447,0.037418360539707596
5500000000.0,0.5245065455421737,-5.604981753789423,0.6862180844117141,0.65192972730345,-3.7159843028196575,-3.8736681839622564,0.65192972730345,-3.7159843028196575,-3.8736681839622564,0.5526690416175433,-5.150697244685559,0.44759134017923585
6000000000.0,0.38763184071863277,-8.231611129822301,-0.6042136681675697,0.7883349981328457,-2.0657838501053534,-6.2228141567761215,0.7883349981328457,-2.0657838501053534,-6.2228141567761215,0.25341326993073887,-11.923412942421567,-1.9645162177806375
6500000000.0,0.4225525566221697,-7.482385325695976,-1.188410066088456,0.7677017183841371,-2.296149745791573,-8.671278655443611,0.7677017183841371,-2.296149745791573,-8.671278655443611,0.4489499838419744,-6.956040794693817,-0.26022026512060514
6625000000.0,0.21779097336674744,-13.239202482261433,-1.9400258923096385,0.8258534432733277,-1.661940322961156,-9.267936142439485,0.8258534432733277,-1.661940322961156,-9.267936142439485,0.28918659942174624,-10.776436712476086,-0.4691167975475779
6750000000.0,0.11290447785684561,-18.94577666726607,-4.594606790655048,0.8410164798346348,-1.5039098811613305,-9.916199268046963,0.8410164798346348,-1.5039098811613305,-9.916199268046963,0.22315057358166587,-13.028039850407438,0.04892492690786067
6875000000.0,0.33054524140955927,-9.61538181283424,-5.737927334229862,0.7963974683868027,-1.9774025838264992,-10.538383850191957,0.7963974683868027,-1.9774025838264992,-10.538383850191957,0.3704067696303235,-8.626421693245494,0.1258348665592328
7000000000.0,0.45994415064506977,-6.745897998507951,-6.36331984321444,0.7440941683380915,-2.5674419825861605,-11.095856388949844,0.7440941683380915,-2.5674419825861605,-11.095856388949844,0.47942493696655614,-6.385587603573015,-0.20883893150434177
7500000000.0,0.21251900655010467,-13.452044458560145,-8.329525601313449,0.8125451548279025,-1.8030499005772984,-13.33408017894574,0.8125451548279025,-1.8030499005772984,-13.33408017894574,0.1902835153496015,-14.411976678064422,-2.113340562518439
7750000000.0,0.27852139327411524,-11.102828819566763,-7.517441074833286,0.7724631921002679,-2.242444111165263,-14.739953683316047,0.7724631921002679,-2.242444111165263,-14.739953683316047,0.2662451806950517,-11.494364892959945,-0.41027630250503744
8000000000.0,0.5284403056710405,-5.54008129795018,-8.728035634556605,0.6221816892493013,-4.121655485729334,-16.129358471296314,0.6221816892493013,-4.121655485729334,-16.129358471296314,0.5395202644515873,-5.359844770345317,-1.6642711144828268
8250000000.0,0.1937759394756347,-14.254002977249723,-10.485944283521569,0.5828724548906761,-4.688529357554895,-17.856873940713566,0.5828724548906761,-4.688529357554895,-17.856873940713566,0.49139439872738894,-6.171395964674755,-2.5377041855159246
8375000000.0,0.5249566885870808,-5.597530529350049,-8.533520574878924,0.33994481061082543,-9.371831682254227,-19.18152565134569,0.33994481061082543,-9.371831682254227,-19.18152565134569,0.7019178184109991,-3.074274654837344,-2.674110461362313
8500000000.0,0.8008516396229768,-1.9289586186606502,-9.377655067537422,0.12573663615226163,-18.010763251285322,-20.022310663952595,0.12573663615226163,-18.010763251285322,-20.022310663952595,0.848132246711648,-1.430728484603247,-3.178480194763202
9000000000.0,0.9330126857718622,-0.6022490259646617,-10.72214336716581,0.005791087158598955,-44.744797973604236,-21.458758073238982,0.005791087158598955,-44.744797973604236,-21.458758073238982,0.9331817211604239,-0.6006755320901384,-4.389331244619775
9500000000.0,0.9551422084120044,-0.39863925459260147,-11.405725666490671,0.0010503294059826553,-59.57348950879171,-22.765243811450272,0.0010503294059826553,-59.57348950879171,-22.765243811450272,0.9544949869045756,-0.40452696437742275,-5.081170048624618
10000000000.0,0.9633996440061632,-0.3238703700266193,-11.888979096591292,0.0007403176780544535,-62.61163759941975,-23.827260442266795,0.0007403176780544535,-62.61163759941975,-23.827260442266795,0.9631472752263216,-0.3261459931743896,-5.570740306112302
