candidate,predicted_tx_score,parent,parent_tx_score,min_gap_mm,length_delta_mm,gap_delta_mm,width_delta_mm,params_json,layout_json
tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len,19.941,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.058594,0.097;0.097;0.097;0.097;0.097,-0.006;-0.012;-0.018;-0.012;-0.006,0;0;0;0;0,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_layout.json
tx_band1_mcfil_r6_cnn025_rand19,18.793,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.052633,0.092305;0.098606;0.099648;0.104567;0.093009,-0.011961;-0.020443;-0.02589;-0.012265;-0.009228,-0.000344;-0.000197;0.002224;-0.002246;-0.000605,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn025_rand19_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn025_rand19_layout.json
tx_band1_mcfil_r6_cnn022_rand16,15.148,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.056012,0.085127;0.10645;0.097777;0.095829;0.087932,-0.008582;-0.009099;-0.022556;-0.020101;-0.000777,-0.000192;0.00097;-0.001671;0.00142;-0.006823,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn022_rand16_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn022_rand16_layout.json
tx_band1_mcfil_r6_cnn023_rand17,13.903,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.054939,0.099908;0.094441;0.10321;0.095392;0.086581,-0.009655;-0.02011;-0.030778;-0.017789;-0.002105,-0.007938;-0.004971;0.000957;-0.000991;-0.002327,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn023_rand17_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn023_rand17_layout.json
tx_band1_mcfil_r6_cnn007_rand01,13.420,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.058867,0.08695;0.094031;0.099274;0.1086;0.085926,-0.003145;-0.015256;-0.029292;-0.018494;-0.005727,-0.00251;-0.002996;-0.002073;-0.003443;-0.011186,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn007_rand01_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn007_rand01_layout.json
tx_band1_mcfil_r6_cnn012_rand06,12.424,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.054824,0.090673;0.097633;0.100953;0.106473;0.086525,-0.00977;-0.017038;-0.02107;-0.019835;-0.0052,-0.006614;-0.000549;0.002976;0.00045;-0.004645,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn012_rand06_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn012_rand06_layout.json
tx_band1_mcfil_r6_cnn010_rand04,12.349,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.055787,0.092429;0.094723;0.107272;0.100205;0.0868,-0.007616;-0.021958;-0.023659;-0.008871;-0.008807,-0.002025;-0.00385;-0.000359;-0.002464;-0.000512,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn010_rand04_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn010_rand04_layout.json
tx_band1_mcfil_r6_cnn003_outer_gap_stronger_width_m006,11.848,tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006,25.235,0.054594,0.097;0.097;0.097;0.097;0.097,-0.01;-0.012;-0.02;-0.012;-0.01,-0.006;-0.003;0;-0.003;-0.006,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn003_outer_gap_stronger_width_m006_params.json,projects\RFSOC_RF\layouts\tx_band1_mcfil_iter\round6\tx_band1_mcfil_r6_cnn003_outer_gap_stronger_width_m006_layout.json
