frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.7253822845340909,-2.78866110147058,-2.2057070122409526,0.5590172594139051,-5.0514956650799085,-0.6842217681517225,0.5590172594139051,-5.0514956650799085,-0.6842217681517225,0.7248540129672413,-2.7949890478051724,-2.2802623506798985
4062500000.0,0.7215283501710091,-2.834932000184785,-2.497559471183561,0.5542250105795412,-5.126277593031864,-0.962658661707884,0.5542250105795412,-5.126277593031864,-0.962658661707884,0.7224378484606243,-2.823990188912781,-2.572933362025114
4125000000.0,0.7332863242892645,-2.6945282894807168,-2.807916458928115,0.529064601216578,-5.529825907540744,-1.2532274247802508,0.529064601216578,-5.529825907540744,-1.2532274247802508,0.7359068927662469,-2.663542585959891,-2.877129104058125
4250000000.0,0.7970825086780182,-1.969934420034885,-3.465422175918784,0.41210476080660247,-7.699847365897753,-1.8571585983796446,0.41210476080660247,-7.699847365897753,-1.8571585983796446,0.8026888442257831,-1.9090554561703064,-3.5035932300837316
4500000000.0,0.9130158579255974,-0.790433585135013,-4.660751517266344,0.059108344167565795,-24.567024131906216,-2.7683427398092957,0.059108344167565795,-24.567024131906216,-2.7683427398092957,0.9187098354776643,-0.7364326830356959,-4.62365271135603
5000000000.0,0.9121644223726632,-0.7985374156037078,-5.969348083080189,0.2518386150782954,-11.977553552105784,-1.218232619554378,0.2518386150782954,-11.977553552105784,-1.218232619554378,0.9148465479081881,-0.7730349270999781,-5.866338859859386
5500000000.0,0.8803072741531792,-1.1073141893532723,-6.712686421308176,0.35191150404516963,-9.071330715488637,-1.9522535687568476,0.35191150404516963,-9.071330715488637,-1.9522535687568476,0.8830627217549124,-1.080168969339993,-6.577893671528492
6000000000.0,0.8039174512602236,-1.89577087335755,-7.375266102122741,0.476834956213361,-6.43263828959734,-2.613984799572959,0.476834956213361,-6.43263828959734,-2.613984799572959,0.8102296016375208,-1.8278378793560743,-7.183902505668076
7000000000.0,0.22023746848922118,-13.142175871332002,-5.811674432799854,0.8375981579850281,-1.5392857282513663,-4.848628106159445,0.8375981579850281,-1.5392857282513663,-4.848628106159445,0.29085191665881355,-10.72656139876293,-7.343665700485965
7250000000.0,0.3558786535347598,-8.97396122503657,-6.439512535364379,0.7949021662181339,-1.9937263900449222,-5.585953693837323,0.7949021662181339,-1.9937263900449222,-5.585953693837323,0.3336077847443239,-9.535276472912823,-7.8621395442490005
7375000000.0,0.3525025359859666,-9.056755084898473,-6.383439354807576,0.7768716300420967,-2.193014758349536,-6.070616315369131,0.7768716300420967,-2.193014758349536,-6.070616315369131,0.21846850995555214,-13.212223067520334,-8.801322798171608
7500000000.0,0.5128916288335782,-5.799487784372306,-6.174422347988435,0.66111695618687,-3.594434080076546,-6.7368833380449775,0.66111695618687,-3.594434080076546,-6.7368833380449775,0.33564400419624985,-9.48242212928573,-10.990149501022344
7750000000.0,0.8931916624874195,-0.9811067902163433,-6.711567225571502,0.18244553559824775,-14.777335185177407,-7.901214520743419,0.18244553559824775,-14.777335185177407,-7.901214520743419,0.8476219009426202,-1.4359566094077687,-12.612683951248153
8000000000.0,0.9430989913519358,-0.5088543925164142,-7.081014908040631,0.010720738902939321,-39.39550561672645,-8.52988373887706,0.010720738902939321,-39.39550561672645,-8.52988373887706,0.9277809914863878,-0.6510905923084995,-13.171548442179917
8062500000.0,0.9466286026370149,-0.47640754691141474,-7.146754542822267,0.007617707467299412,-42.363514179778655,-11.428285271648209,0.007617707467299412,-42.363514179778655,-11.428285271648209,0.9342381071097803,-0.5908484406014786,-13.260016455057988
8125000000.0,0.9491712459349172,-0.4531085342719468,-7.206384780846352,0.021015594852815775,-33.54916625293849,-11.622257995746711,0.021015594852815775,-33.54916625293849,-11.622257995746711,0.9389544660772541,-0.5471093604471237,-13.337859253475937
8250000000.0,0.9526200696612317,-0.4216054614998885,-7.311916364661913,0.038864284034017385,-28.20898657097462,-11.777855244334297,0.038864284034017385,-28.20898657097462,-11.777855244334297,0.9453185143811009,-0.4884367243904285,-13.470576721030676
8500000000.0,0.9565990236889954,-0.3854013341503862,-7.48684190019757,0.05560333567308861,-25.097983081681914,-11.98516526641016,0.05560333567308861,-25.097983081681914,-11.98516526641016,0.9522244377777336,-0.42521354070358,-13.678894685448293
9000000000.0,0.9604795767939589,-0.35023730693562616,-7.760512424668499,0.0642961171905116,-23.83630506209128,-12.280736931637907,0.0642961171905116,-23.83630506209128,-12.280736931637907,0.9580631663940421,-0.37211712715535217,-13.985433973180193
10000000000.0,0.9616356208736144,-0.3397891584421648,-8.187543753474753,0.06838555787046696,-23.300712117472795,-12.73248851253139,0.06838555787046696,-23.300712117472795,-12.73248851253139,0.9600061770401992,-0.3545194507535821,-14.442557010785087
