freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.333692,-44.5128,-44.5128,-0.326173
14.05,-0.340573,-44.2979,-44.2979,-0.332817
14.1,-0.347683,-44.0772,-44.0772,-0.339682
14.15,-0.355033,-43.8504,-43.8504,-0.34678
14.2,-0.362636,-43.6172,-43.6172,-0.35412
14.25,-0.370503,-43.3774,-43.3774,-0.361716
14.3,-0.378649,-43.1307,-43.1307,-0.36958
14.35,-0.387088,-42.8769,-42.8769,-0.377727
14.4,-0.395835,-42.6156,-42.6156,-0.386172
14.45,-0.404907,-42.3466,-42.3466,-0.394931
14.5,-0.414322,-42.0695,-42.0695,-0.40402
14.55,-0.424098,-41.7841,-41.7841,-0.413459
14.6,-0.434256,-41.4901,-41.4901,-0.423267
14.65,-0.444818,-41.1872,-41.1872,-0.433465
14.7,-0.455808,-40.875,-40.875,-0.444077
14.75,-0.467251,-40.5533,-40.5533,-0.455128
14.8,-0.479175,-40.2218,-40.2218,-0.466643
14.85,-0.491608,-39.8801,-39.8801,-0.478652
14.9,-0.504585,-39.528,-39.528,-0.491187
14.95,-0.518139,-39.1651,-39.1651,-0.504281
15,-0.532308,-38.7913,-38.7913,-0.517971
15.05,-0.547134,-38.4061,-38.4061,-0.532298
15.1,-0.562662,-38.0094,-38.0094,-0.547306
15.15,-0.578941,-37.6007,-37.6007,-0.563042
15.2,-0.596024,-37.18,-37.18,-0.579559
15.25,-0.613972,-36.7468,-36.7468,-0.596915
15.3,-0.632848,-36.301,-36.301,-0.615172
15.35,-0.652724,-35.8422,-35.8422,-0.634401
15.4,-0.673678,-35.3703,-35.3703,-0.654679
15.45,-0.695799,-34.8851,-34.8851,-0.676091
15.5,-0.719182,-34.3862,-34.3862,-0.698731
15.55,-0.743936,-33.8734,-33.8734,-0.722705
15.6,-0.77018,-33.3466,-33.3466,-0.748129
15.65,-0.798047,-32.8055,-32.8055,-0.775136
15.7,-0.827689,-32.2499,-32.2499,-0.803872
15.75,-0.859275,-31.6796,-31.6796,-0.834504
15.8,-0.892995,-31.0943,-31.0943,-0.867217
15.85,-0.929065,-30.4939,-30.4939,-0.902225
15.9,-0.967732,-29.8781,-29.8781,-0.939767
15.95,-1.00927,-29.2468,-29.2468,-0.98012
16,-1.05401,-28.5996,-28.5996,-1.0236
16.05,-1.10232,-27.9364,-27.9364,-1.07056
16.1,-1.15462,-27.257,-27.257,-1.12143
16.15,-1.2114,-26.5611,-26.5611,-1.17669
16.2,-1.27324,-25.8486,-25.8486,-1.2369
16.25,-1.34082,-25.1194,-25.1194,-1.30273
16.3,-1.41491,-24.3732,-24.3732,-1.37495
16.35,-1.49645,-23.6099,-23.6099,-1.45447
16.4,-1.58655,-22.8296,-22.8296,-1.54238
16.45,-1.68651,-22.0322,-22.0322,-1.63997
16.5,-1.79791,-21.2179,-21.2179,-1.74878
16.55,-1.92263,-20.3871,-20.3871,-1.87067
16.6,-2.06294,-19.5401,-19.5401,-2.00787
16.65,-2.22158,-18.6777,-18.6777,-2.16307
16.7,-2.40186,-17.8011,-17.8011,-2.33953
16.75,-2.60781,-16.9118,-16.9118,-2.54121
16.8,-2.84429,-16.0119,-16.0119,-2.77286
16.85,-3.11713,-15.1041,-15.1041,-3.04022
16.9,-3.43333,-14.192,-14.192,-3.35016
16.95,-3.80116,-13.2804,-13.2804,-3.71074
17,-4.23017,-12.3748,-12.3748,-4.1313
17.05,-4.73107,-11.4822,-11.4822,-4.62224
17.1,-5.31522,-10.6107,-10.6107,-5.19457
17.15,-5.99354,-9.76924,-9.76924,-5.85877
17.2,-6.77445,-8.96726,-8.96726,-6.62282
17.25,-7.66024,-8.21407,-8.21407,-7.48859
17.3,-8.6411,-7.51786,-7.51786,-8.44633
17.35,-9.68663,-6.88486,-6.88486,-9.46675
17.4,-10.7363,-6.31848,-6.31848,-10.4926
17.45,-11.6964,-5.81898,-5.81898,-11.4362
17.5,-12.4586,-5.38351,-5.38351,-12.1967
17.55,-12.9472,-5.00666,-5.00666,-12.7018
17.6,-13.1642,-4.68133,-4.68133,-12.9493
17.65,-13.186,-4.39968,-4.39968,-13.0062
17.7,-13.1152,-4.15392,-4.15392,-12.9675
17.75,-13.0389,-3.93696,-3.93696,-12.9169
17.8,-13.0151,-3.74272,-3.74272,-12.912
17.85,-13.0778,-3.56631,-3.56631,-12.9879
17.9,-13.246,-3.40402,-3.40402,-13.1646
17.95,-13.5311,-3.25315,-3.25315,-13.4543
18,-13.942,-3.11192,-3.11192,-13.8663
18.05,-14.4883,-2.97929,-2.97929,-14.4102
18.1,-15.1828,-2.85473,-2.85473,-15.0977
18.15,-16.0427,-2.73817,-2.73817,-15.9443
18.2,-17.0913,-2.62981,-2.62981,-16.9697
18.25,-18.3572,-2.53005,-2.53005,-18.1959
18.3,-19.8656,-2.43942,-2.43942,-19.6359
18.35,-21.5975,-2.35854,-2.35854,-21.2513
18.4,-23.3453,-2.28812,-2.28812,-22.8251
18.45,-24.4143,-2.22892,-2.22892,-23.752
18.5,-23.9129,-2.18183,-2.18183,-23.3269
18.55,-22.1319,-2.14786,-2.14786,-21.7582
18.6,-20.0156,-2.12821,-2.12821,-19.8137
18.65,-18.0205,-2.12434,-2.12434,-17.9258
18.7,-16.2421,-2.138,-2.138,-16.2128
18.75,-14.6668,-2.17134,-2.17134,-14.6787
18.8,-13.2607,-2.22687,-2.22687,-13.2996
18.85,-11.9931,-2.30755,-2.30755,-12.0496
18.9,-10.84,-2.41674,-2.41674,-10.9075
