sparam,points,max_abs_delta_db,mean_abs_delta_db,rms_delta_db,passband_mean_abs_delta_db,delta_at_5g_db,delta_at_6g_db,delta_at_7g_db,delta_at_8g_db,delta_at_9g_db
s11,40,11.4287,3.00129,4.10881,4.38172,-0.515876,-6.09101,-1.49336,-2.98783,-2.0261
s21,40,31.8965,6.2099,9.64593,1.21163,5.06359,-0.736637,-1.34882,-0.919926,19.7919
s22,40,10.4684,2.84383,3.83551,3.82141,-0.510175,-6.09656,-1.81489,-3.32128,-1.95115
