freq_ghz,s11_db,s21_db,s12_db,s22_db
14,-0.327048,-44.7518,-44.7518,-0.322928
14.05,-0.333741,-44.5433,-44.5433,-0.32941
14.1,-0.340657,-44.3292,-44.3292,-0.336106
14.15,-0.347808,-44.109,-44.109,-0.343026
14.2,-0.355205,-43.8826,-43.8826,-0.350181
14.25,-0.362862,-43.6497,-43.6497,-0.357583
14.3,-0.370791,-43.41,-43.41,-0.365244
14.35,-0.379007,-43.1633,-43.1633,-0.373179
14.4,-0.387525,-42.9092,-42.9092,-0.3814
14.45,-0.396361,-42.6474,-42.6474,-0.389925
14.5,-0.405534,-42.3777,-42.3777,-0.398769
14.55,-0.415062,-42.0997,-42.0997,-0.40795
14.6,-0.424964,-41.8131,-41.8131,-0.417488
14.65,-0.435264,-41.5176,-41.5176,-0.427402
14.7,-0.445984,-41.2129,-41.2129,-0.437715
14.75,-0.45715,-40.8987,-40.8987,-0.448451
14.8,-0.46879,-40.5746,-40.5746,-0.459636
14.85,-0.480932,-40.2403,-40.2403,-0.471297
14.9,-0.493609,-39.8955,-39.8955,-0.483465
14.95,-0.506856,-39.54,-39.54,-0.496172
15,-0.520711,-39.1732,-39.1732,-0.509454
15.05,-0.535214,-38.7951,-38.7951,-0.523349
15.1,-0.550412,-38.4052,-38.4052,-0.5379
15.15,-0.566352,-38.0032,-38.0032,-0.553153
15.2,-0.58309,-37.5889,-37.5889,-0.569159
15.25,-0.600682,-37.162,-37.162,-0.585973
15.3,-0.619196,-36.7222,-36.7222,-0.603655
15.35,-0.638702,-36.2692,-36.2692,-0.622273
15.4,-0.659278,-35.8028,-35.8028,-0.6419
15.45,-0.681013,-35.3227,-35.3227,-0.662619
15.5,-0.704003,-34.8286,-34.8286,-0.684521
15.55,-0.728355,-34.3204,-34.3204,-0.707706
15.6,-0.75419,-33.7977,-33.7977,-0.732287
15.65,-0.781642,-33.2603,-33.2603,-0.758389
15.7,-0.810862,-32.708,-32.708,-0.786155
15.75,-0.842019,-32.1406,-32.1406,-0.815744
15.8,-0.875304,-31.5579,-31.5579,-0.847334
15.85,-0.910934,-30.9595,-30.9595,-0.881128
15.9,-0.949154,-30.3454,-30.3454,-0.917359
15.95,-0.990246,-29.7152,-29.7152,-0.956288
16,-1.03453,-29.0687,-29.0687,-0.998217
16.05,-1.08238,-28.4057,-28.4057,-1.04349
16.1,-1.13421,-27.726,-27.726,-1.09252
16.15,-1.19052,-27.0293,-27.0293,-1.14575
16.2,-1.25189,-26.3155,-26.3155,-1.20373
16.25,-1.31898,-25.5844,-25.5844,-1.26709
16.3,-1.39259,-24.8358,-24.8358,-1.33657
16.35,-1.47364,-24.0696,-24.0696,-1.41304
16.4,-1.56323,-23.2856,-23.2856,-1.49754
16.45,-1.66267,-22.4841,-22.4841,-1.5913
16.5,-1.77353,-21.6649,-21.6649,-1.69578
16.55,-1.89769,-20.8284,-20.8284,-1.81275
16.6,-2.0374,-19.9752,-19.9752,-1.94433
16.65,-2.19541,-19.1057,-19.1057,-2.09308
16.7,-2.37503,-18.2212,-18.2212,-2.2621
16.75,-2.58026,-17.323,-17.323,-2.45513
16.8,-2.81598,-16.4132,-16.4132,-2.6767
16.85,-3.08805,-15.4945,-15.4945,-2.93226
16.9,-3.40353,-14.5703,-14.5703,-3.22829
16.95,-3.77079,-13.6453,-13.6453,-3.57246
17,-4.19959,-12.725,-12.725,-3.9736
17.05,-4.70102,-11.8163,-11.8163,-4.44159
17.1,-5.28709,-10.9273,-10.9273,-4.98687
17.15,-5.96981,-10.0669,-10.0669,-5.61947
17.2,-6.75942,-9.24471,-9.24471,-6.34721
17.25,-7.66104,-8.47031,-8.47031,-7.17263
17.3,-8.66925,-7.75223,-7.75223,-8.08834
17.35,-9.75974,-7.09706,-7.09706,-9.07065
17.4,-10.8788,-6.50868,-6.50868,-10.0729
17.45,-11.9367,-5.98775,-5.98775,-11.0233
17.5,-12.8195,-5.53176,-5.53176,-11.8363
17.55,-13.4334,-5.13556,-5.13556,-12.4428
17.6,-13.7604,-4.79219,-4.79219,-12.8251
17.65,-13.869,-4.49389,-4.49389,-13.0257
17.7,-13.8683,-4.2329,-4.2329,-13.1216
17.75,-13.8571,-4.00214,-4.00214,-13.1904
17.8,-13.9039,-3.79557,-3.79557,-13.2921
17.85,-14.0502,-3.60835,-3.60835,-13.4662
17.9,-14.3209,-3.43678,-3.43678,-13.7379
17.95,-14.7327,-3.27827,-3.27827,-14.1232
18,-15.3002,-3.13108,-3.13108,-14.6338
18.05,-16.0409,-2.99417,-2.99417,-15.28
18.1,-16.9779,-2.86706,-2.86706,-16.071
18.15,-18.1433,-2.7496,-2.7496,-17.0143
18.2,-19.5804,-2.64187,-2.64187,-18.1092
18.25,-21.3378,-2.54412,-2.54412,-19.3299
18.3,-23.4204,-2.45663,-2.45663,-20.5856
18.35,-25.5593,-2.37975,-2.37975,-21.6508
18.4,-26.6521,-2.31381,-2.31381,-22.1483
18.45,-25.5603,-2.25918,-2.25918,-21.7932
18.5,-23.283,-2.21631,-2.21631,-20.7198
18.55,-20.9893,-2.18573,-2.18573,-19.3072
18.6,-18.9828,-2.16814,-2.16814,-17.8367
18.65,-17.2577,-2.16447,-2.16447,-16.4328
18.7,-15.7566,-2.17595,-2.17595,-15.1312
18.75,-14.4265,-2.20416,-2.20416,-13.9321
18.8,-13.2266,-2.25112,-2.25112,-12.8237
18.85,-12.1273,-2.31932,-2.31932,-11.7926
18.9,-11.1072,-2.41173,-2.41173,-10.8271
18.95,-10.152,-2.53183,-2.53183,-9.91808
19,-9.2524,-2.6835,-2.6835,-9.05932
19.05,-8.40327,-2.8709,-2.8709,-8.24733
19.1,-7.60255,-3.0983,-3.0983,-7.4808
19.15,-6.85034,-3.36977,-3.36977,-6.76008
19.2,-6.14804,-3.68887,-3.68887,-6.08656
19.25,-5.49755,-4.05829,-4.05829,-5.46204
19.3,-4.90056,-4.47952,-4.47952,-4.8881
19.35,-4.35806,-4.95268,-4.95268,-4.36568
19.4,-3.86991,-5.47637,-5.47637,-3.89466
19.45,-3.43479,-6.04777,-6.04777,-3.47384
19.5,-3.05021,-6.66283,-6.66283,-3.10091
19.55,-2.71276,-7.31659,-7.31659,-2.77268
19.6,-2.41834,-8.00357,-8.00357,-2.48533
19.65,-2.16256,-8.71804,-8.71804,-2.23471
19.7,-1.9409,-9.45439,-9.45439,-2.01659
19.75,-1.74902,-10.2073,-10.2073,-1.82689
19.8,-1.58289,-10.972,-10.972,-1.6618
19.85,-1.43883,-11.7441,-11.7441,-1.51786
19.9,-1.31362,-12.5198,-12.5198,-1.39203
19.95,-1.20445,-13.2962,-13.2962,-1.28165
20,-1.10889,-14.0704,-14.0704,-1.18445
20.05,-1.02491,-14.8403,-14.8403,-1.09848
20.1,-0.95077,-15.604,-15.604,-1.02213
20.15,-0.885029,-16.3603,-16.3603,-0.95401
20.2,-0.826468,-17.1078,-17.1078,-0.892967
20.25,-0.774071,-17.8458,-17.8458,-0.838035
20.3,-0.726985,-18.5736,-18.5736,-0.788401
20.35,-0.684497,-19.2906,-19.2906,-0.743382
20.4,-0.646008,-19.9965,-19.9965,-0.7024
20.45,-0.611012,-20.6911,-20.6911,-0.664969
20.5,-0.579083,-21.3742,-21.3742,-0.630674
20.55,-0.549858,-22.0457,-22.0457,-0.599162
20.6,-0.523028,-22.7057,-22.7057,-0.570128
20.65,-0.498329,-23.3541,-23.3541,-0.543314
20.7,-0.475534,-23.991,-23.991,-0.518493
20.75,-0.454447,-24.6166,-24.6166,-0.495469
20.8,-0.434897,-25.231,-25.231,-0.474072
20.85,-0.416737,-25.8343,-25.8343,-0.454151
20.9,-0.399836,-26.4267,-26.4267,-0.435575
20.95,-0.38408,-27.0084,-27.0084,-0.418227
21,-0.36937,-27.5796,-27.5796,-0.402003
21.05,-0.355616,-28.1405,-28.1405,-0.386811
21.1,-0.342739,-28.6912,-28.6912,-0.372568
21.15,-0.330667,-29.2321,-29.2321,-0.359201
21.2,-0.319339,-29.7631,-29.7631,-0.346643
21.25,-0.308696,-30.2847,-30.2847,-0.334834
21.3,-0.298688,-30.7969,-30.7969,-0.323719
21.35,-0.289269,-31.3,-31.3,-0.313248
21.4,-0.280396,-31.7941,-31.7941,-0.303378
